18357392
/m/04f2z79
/m/04f2z79
Molly Cochran
1992
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 10
again 2
agent 1
ago 1
alcoholsoaked 1
alive 1
an 1
and 3
are 1
arthur 2
as 1
at 1
awesome 1
be 1
blessing 1
boy 2
brokendown 1
but 1
by 3
call 1
camelot 1
chance 2
child 2
courtly 1
cup 1
darkened 1
darkest 1
dead 1
defender 1
drifter 1
enough 1
exfbi 1
fail 1
failed 2
faith 1
far 1
fate 1
fbi 1
few 1
flap 1
forever 1
from 2
front 1
gentleman 1
given 1
grail 2
grails 1
great 1
hal 2
has 1
have 1
he 6
held 1
him 1
himself 1
his 5
holy 1
house 1
human 1
in 2
inside 1
is 3
it 1
itis 1
keep 1
king 1
life 1
long 2
madman 1
man 1
may 1
memories 1
men 1
must 1
needs 1
nightmare 1
no 1
not 2
now 2
of 3
offered 1
old 2
once 4
one 1
ordinary 1
place 1
plagued 1
power 3
practically 1
protectors 1
purity 1
quit 2
race 1
redeem 1
right 1
save 2
schemes 1
skill 1
soon 1
stay 1
stood 1
strength 1
ten 1
that 2
the 12
this 1
time 2
to 5
use 1
was 1
weak 1
well 1
when 1
where 1
who 1
will 2
woczniak 1
world 1
year 1
