5371299
/m/0dhwnk
/m/0dhwnk
Ian Rankin
2003
a 5
an 1
and 5
answers 1
aplenty 1
are 1
as 1
at 1
bandaged 1
becomes 1
been 1
behind 1
burnt 1
by 2
clarke 1
community 1
criminal 1
death 1
detective 1
drawn 1
ds 1
enemies 1
exarmy 1
faces 1
fascinated 1
finds 1
for 1
found 1
fresh 1
friends 1
from 1
goths 1
gun 1
had 1
hands 1
has 1
he 1
heavily 1
himself 2
his 4
home 1
hospital 1
in 2
inspector 1
into 1
is 2
it 1
john 1
killed 1
killer 1
left 1
lies 1
link 1
loner 1
meanwhile 1
mysteryexcept 1
no 1
of 2
on 1
out 1
own 3
past 1
petty 1
politicians 1
private 1
puts 1
rebus 4
roman 1
school 1
searching 1
secrets 1
shattered 1
siobhan 1
stalked 1
svblodsband 1
teenagers 1
the 3
then 1
there 1
these 1
to 2
trials 1
turns 1
two 1
web 1
who 4
why 1
with 3
