18159566
/m/046c8f9
/m/046c8f9
Holly Lisle
1992-08-01
a 9
act 1
actually 1
against 1
and 7
anguish 1
ariss 1
as 4
at 1
away 1
back 1
background 1
be 2
bear 1
begins 2
being 1
believe 2
body 3
bring 1
but 1
by 2
control 2
dead 1
defeats 1
destroys 1
dislike 1
does 2
dont 1
earlier 1
either 1
entire 1
escapes 1
even 1
everyone 1
exists 1
explanations 1
expressly 1
fact 1
faia 7
far 1
felt 1
find 2
fire 1
fit 1
for 1
forbidden 1
from 5
grudge 1
happened 1
harmful 1
has 1
her 10
humble 1
implicated 1
in 8
is 9
it 2
killing 1
legend 2
little 1
loses 1
mage 3
mages 3
magic 1
magical 1
meet 1
men 2
mist 1
much 2
murderer 3
murders 2
not 1
occur 1
of 10
or 1
other 1
out 1
over 1
person 1
plague 1
potential 1
power 1
pregnant 1
primarily 1
proceeds 1
regains 1
resemble 1
returns 1
rissedote 1
same 1
see 1
series 1
sex 1
she 5
sheep 1
shepherd 1
sleep 1
small 1
spirit 1
spite 1
staff 2
start 1
still 1
story 2
stronger 1
students 1
supposed 1
surprising 1
taken 1
talent 1
targeting 1
tending 1
that 2
the 26
their 1
there 2
they 1
this 1
to 10
town 1
train 1
travel 2
turns 1
university 5
village 4
was 1
what 1
where 1
which 3
who 2
with 3
woman 1
women 1
work 1
young 2
