29313438
/m/065w9c
/m/065w9c
Kathryn Lasky
2003-06
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
121 1
128 1
252 1
a 15
about 1
above 1
academy 2
accidentally 1
aegolius 2
after 1
again 1
agree 2
agreed 1
along 1
also 2
an 4
and 26
another 2
anymore 1
appears 2
are 5
as 2
asking 1
asks 1
at 4
auntie 2
away 1
back 1
bald 1
barn 1
based 1
be 2
beak 1
being 1
blind 1
blinked 2
book 3
brother 1
burrowing 1
but 1
by 3
called 1
calls 1
capture 1
care 1
chick 1
clear 1
come 2
comes 1
confront 1
continuessly 1
continuously 1
day 2
desert 2
died 1
digger 1
discovered 1
dislodge 1
do 1
doing 1
down 2
eagles 2
egg 1
eggs 1
eglantine 1
elf 1
ends 1
everything 1
families 1
family 1
father 1
film 1
find 5
finding 1
finds 2
finny 1
fly 2
flying 2
for 4
forced 2
forest 2
forget 1
found 1
from 2
full 4
gahoole 3
gahoolian 1
gets 3
getting 1
go 2
goes 1
gray 1
great 3
grimble 3
group 1
guardian 1
guardians 1
gylfie 9
gylfies 1
hatched 1
hatchery 1
have 2
he 1
head 1
helps 2
her 3
here 1
high 1
him 2
his 3
holding 1
hortense 6
how 1
hunting 1
idea 1
if 1
in 10
is 15
it 1
jatt 1
journey 2
jutt 1
kept 1
kills 1
kindom 1
kingdom 3
kludd 2
kuneer 2
later 2
legend 1
legends 2
like 2
lives 1
march 3
marella 2
meet 2
mind 1
moment 1
moon 6
moonblinked 1
moonblinking 1
moonlight 1
most 1
mother 2
mrs 3
name 2
named 3
names 2
nearby 1
nest 3
nestmaid 1
night 1
no 1
noble 1
noctus 1
noise 1
not 3
number 3
numbered 2
numbers 1
of 12
off 2
older 1
on 5
one 1
or 2
orphanage 1
orphaned 2
other 1
out 5
owl 9
owls 7
own 3
p 1
parents 1
patrol 1
pelletorium 1
perfectly 1
personality 1
pit 1
place 1
plithiver 2
plucked 1
point 1
position 2
pretend 1
punishment 1
pushed 1
pushes 1
putting 1
quest 1
questalso 1
question 1
questions 1
reach 1
real 1
realizes 1
repeated 1
repeating 2
rescue 1
respectively 1
rests 1
revealed 1
ridge 1
right 1
rock 1
rule 1
save 1
say 1
saying 1
says 1
scalded 1
second 1
sees 1
she 2
shine 3
shoulders 1
side 2
skench 2
sleep 1
sleeping 2
sleeps 1
slightly 1
snake 1
snatched 1
soon 1
soren 16
sound 1
spoorn 1
spotted 1
st 2
standing 1
start 1
starts 2
streak 1
tales 1
teaches 1
telling 1
tells 1
that 2
the 35
their 5
them 2
themselves 1
then 2
they 11
this 5
tiny 1
tipping 1
to 16
traveling 1
tree 2
trip 1
try 1
trying 2
twilight 1
tyto 2
under 3
unit 1
unsuccessful 1
until 1
up 3
wakes 1
wants 1
was 1
when 2
where 2
which 1
while 2
who 4
with 3
word 2
wrong 1
yore 1
young 1
your 4
zan 1
