30734195
/m/0gff6yd
/m/0gff6yd
N. D. Wilson
2010-03-01
{"/m/01hmnh": "Fantasy"}
a 7
about 2
after 3
amusement 1
an 3
anastasia 1
and 8
are 2
argument 1
arrive 1
as 2
assassinated 1
at 1
attempts 1
awoken 1
barn 1
baseball 1
be 3
begins 1
being 1
belongs 1
break 1
brother 2
but 1
by 3
caleb 1
capital 1
captured 1
cause 1
city 2
comes 2
confusion 1
coradin 2
day 1
defaerened 1
departs 1
dream 2
dumarre 1
during 1
empire 1
encounter 2
encounters 1
endor 1
escape 1
escapes 1
execution 1
explains 1
family 1
fat 1
fatfaerie 1
father 1
favorite 1
feelings 1
find 3
fingers 1
first 1
following 4
for 2
frank 6
franklin 1
from 1
galley 2
gate 1
given 1
gives 1
gone 1
grandmother 1
great 1
has 5
he 5
helping 1
henrietta 2
henry 13
him 1
his 9
home 3
hyacinth 2
hylfing 2
identified 1
imperial 3
in 5
information 1
is 7
james 2
liaison 1
lord 1
maccabee 1
man 1
mayor 1
meanwhile 1
meets 1
missing 1
moedecai 1
monmouth 2
mordecai 4
morning 1
next 1
nimiane 3
of 4
office 1
officers 1
older 2
on 1
orders 1
out 1
outside 1
pastime 1
person 1
playing 2
police 1
richard 2
roderick 2
scar 1
senses 1
should 1
similar 1
since 1
some 1
speaks 1
spell 1
story 1
take 1
tapping 1
tells 1
ten 1
that 5
the 13
theirs 1
them 3
there 2
this 1
to 11
troopers 2
trouble 1
twin 1
two 2
una 1
uncle 2
vision 1
well 1
where 1
which 1
while 1
who 3
will 1
willis 1
with 4
worker 1
would 1
york 1
you 1
zeke 1
