5878272
/m/0fbdw2
/m/0fbdw2
Catherine Asaro
1997
a 10
about 2
actual 1
addition 1
aggression 1
all 1
allowing 1
allows 1
also 3
an 4
ancient 1
and 12
appearance 1
are 3
art 1
as 8
ascendant 1
astounding 1
at 3
attempts 1
bahvla 1
based 1
be 3
became 1
because 1
becomes 1
begins 1
being 1
born 1
but 2
by 2
calani 2
calanya 1
called 2
can 4
centuries 1
children 1
citystates 2
coba 8
coban 1
collapses 1
colony 1
communes 2
compete 1
competing 1
competition 1
comprise 1
conveted 1
convey 1
crash 1
culture 1
dahl 1
dedicated 1
dice 6
different 3
double 1
during 3
each 1
empire 3
end 2
ends 1
escape 2
estate 1
estates 6
even 2
eventually 3
excel 1
exchange 1
exclusively 1
few 1
final 1
finally 2
follows 1
for 4
forgotten 1
former 2
from 1
fulltime 1
gamble 1
game 4
haka 1
handcrafted 1
has 2
have 3
he 1
held 1
his 6
ignites 1
important 2
improve 1
in 9
including 1
increase 1
influence 1
information 4
informationexchange 1
is 9
isolated 3
isolation 1
it 4
its 2
ixpar 2
jail 1
jewels 1
joins 1
karn 4
kelric 11
known 2
lands 1
learn 2
learned 1
learning 1
legendary 1
made 1
makes 1
manager 1
managers 1
many 1
matriarchical 1
member 1
members 1
membership 1
mentally 1
miesa 1
minister 1
most 1
network 2
novel 2
novels 1
number 1
occupation 1
of 23
on 6
one 4
only 1
opens 1
or 2
originates 1
others 1
particularly 1
physical 1
planet 4
planets 1
play 2
played 2
player 1
players 2
playing 1
pleasing 1
politically 2
politics 1
population 1
proceeds 1
properties 1
provinces 1
purposes 1
queens 1
quis 11
rate 1
raylicans 1
reaching 1
refers 1
released 1
remains 1
renamed 1
replaced 1
revealing 1
rhon 1
ruby 2
rule 1
same 1
set 1
several 1
sevtar 1
similarities 1
skill 3
small 1
so 1
society 2
special 1
spends 1
status 1
stories 1
strategy 1
strength 1
study 1
sun 1
technology 1
tell 1
that 5
the 31
their 2
themselves 1
there 2
these 2
they 1
this 3
time 5
title 1
to 12
top 1
trade 1
traded 1
trades 1
two 3
unsuccessful 1
up 1
use 1
used 2
valdoria 1
variety 1
varz 1
violence 1
war 1
when 1
where 1
which 1
while 2
who 1
with 5
wives 1
worked 1
worth 1
