23469570
/m/07kfhqg
/m/07kfhqg
John Ringo
2002-11
10 1
12000 1
23 1
30 1
300 1
32000 1
400 1
4000 1
a 75
abandoned 1
ability 1
aboard 1
about 10
absence 1
accept 1
acceptance 1
accident 1
account 2
achieve 1
across 4
acted 1
action 1
actual 1
addition 1
additional 1
addresses 1
admits 2
advance 1
advanced 1
advancements 1
advances 1
advice 1
advises 3
after 19
afterward 1
afterwards 1
again 2
against 7
agenda 1
agent 1
agree 2
agreement 1
agrees 5
air 1
alive 2
all 26
allay 1
allied 2
allies 3
allowed 2
allows 2
ally 1
alone 2
along 4
already 2
also 11
although 1
amid 1
ammunition 1
amounts 1
an 11
analogue 1
ancient 1
and 208
angered 1
angkor 1
announce 1
another 3
answer 2
anticipation 1
any 4
anyone 1
anything 2
anyway 1
apart 2
appalled 1
appease 1
approach 4
approached 1
approaches 1
apsimon 2
are 47
area 1
areas 1
arent 1
armored 3
army 6
around 7
arrange 1
arrival 2
arrive 1
arrived 1
arriving 1
artillery 1
artisans 2
as 49
ascending 1
ash 1
asked 1
asks 3
assemble 2
assembles 1
assembling 1
assist 1
assistance 3
astounded 2
asunder 1
at 23
atmosphere 1
attack 4
attacked 4
attackers 1
attacks 1
attempt 3
attempted 1
attend 1
attending 1
attention 2
audience 1
authority 1
available 1
awaiting 1
awaken 1
awakens 1
awareness 1
awes 1
ax 1
back 7
backs 1
bad 2
bag 1
balance 1
bank 1
barbarian 2
barbarians 1
barely 1
barleyrice 1
bastard 1
bastion 1
battalion 1
battle 11
be 20
beads 1
beasts 2
because 4
become 1
becomes 1
been 3
before 7
begin 10
begins 4
behind 3
being 10
believe 2
believed 1
believes 1
besiege 1
best 1
better 3
between 7
bistem 1
bisti 1
blast 1
blasting 1
boats 1
body 2
bogess 6
bolts 1
boman 56
book 2
both 3
bought 1
brake 1
break 1
breaks 2
bridge 8
briefs 1
bring 1
bringing 1
broadened 1
brought 2
bug 1
build 3
building 1
burdened 1
business 2
businesses 1
but 17
buy 3
buying 1
by 40
c 1
cabal 3
cadre 1
called 3
calls 1
calm 1
camel 1
camp 2
campaign 2
camsan 10
can 6
canals 1
cannon 1
cannot 2
capability 1
capital 2
captain 2
caravan 4
caring 2
cash 1
casualties 2
caught 2
causes 1
causing 1
cavalry 3
cavalrymen 3
cavern 1
celebrate 1
ceremony 7
certain 1
chain 2
challenge 1
challenged 1
challenges 3
change 3
changes 1
chanting 1
charge 3
charter 1
chase 3
chasing 1
chastises 1
chastising 1
chatter 1
chewed 1
chewing 1
chieftain 3
children 1
choice 1
choose 1
chooses 1
choosing 1
citizens 1
city 32
citystate 2
citystates 1
civan 1
civil 1
civilians 1
claiming 1
clans 1
clansmen 1
claymore 1
claymores 1
clean 1
clear 2
clearing 1
clears 1
cleverness 1
closeminded 1
clothes 1
coastline 1
coffee 1
cold 1
column 1
comas 1
comatose 1
combat 2
come 3
comes 2
command 2
commander 2
commanders 1
commenting 1
commits 1
committed 1
comms 1
company 1
completes 1
comply 1
composure 1
concept 1
concepts 1
concerns 2
concluded 2
condition 1
conduct 2
confesses 1
confirms 1
conflicted 1
confused 1
conscious 1
conscripts 1
conservative 1
conspiracy 3
conspirators 3
construction 1
contains 1
continent 2
continually 1
continue 5
continued 1
continues 1
control 2
convenes 1
conversation 1
converted 1
convince 1
cord 3
costas 5
costly 1
could 2
couldve 1
council 17
counseling 1
coup 1
course 1
cove 5
crazed 1
creator 3
creature 1
cremated 1
cross 3
crossing 1
crude 2
curious 1
current 1
cut 2
damage 1
damncroc 1
dane 1
danegeld 1
dark 1
day 2
dead 2
deal 2
dealing 1
death 3
decent 1
decide 6
decides 4
decimated 1
decision 3
decisions 1
deepwater 1
defeat 5
defenders 4
defending 1
defenses 1
degrees 1
delivers 1
dell 1
demanding 1
demonstrator 1
depart 2
departure 1
depend 1
deputy 1
derision 1
design 2
designs 1
desire 3
desperately 1
despite 6
destabilize 1
destroy 1
determination 1
determine 1
detonated 2
developed 1
development 1
devices 1
diaspra 16
diaspran 5
diasprans 5
die 4
dietary 2
different 1
dikes 1
dinner 6
dinners 1
dinshon 1
direction 1
directional 1
disadvantage 1
disbelief 1
discomfort 1
discover 4
discovers 2
discuss 2
disengage 1
dishearten 1
disheartened 1
disheartens 1
disintegrates 1
displaced 1
displays 1
disturbs 1
dividing 1
dlen 3
dley 2
dleysindi 1
do 1
dobrescu 2
doc 1
docks 1
does 2
doesnt 2
doing 1
dole 1
down 6
downpour 1
drafted 1
draw 1
draws 1
drink 1
drop 1
dropped 1
drunk 1
drying 3
dubbed 1
due 1
dumps 1
each 2
eager 1
eases 1
effectiveness 1
effort 1
efforts 2
either 3
else 2
embark 1
emotions 1
encircled 1
encounter 1
encourage 1
end 3
endanger 1
enemies 2
enemy 3
engagement 2
engineering 1
enlarged 1
enormous 2
enough 3
ensure 1
entailed 1
enter 1
entirely 1
equation 1
equipment 2
equipped 2
erkum 1
error 1
escape 1
escort 1
eva 1
evade 2
even 4
events 1
eventually 6
ever 1
every 4
everybody 2
everyone 2
evict 1
evil 1
evils 1
exchange 2
exercises 1
exile 1
existing 1
experience 1
explain 1
exploding 1
explosion 2
explosions 1
exposing 1
expresses 1
eye 1
eying 1
face 3
faces 2
fact 1
factions 1
failed 3
