7428038
/m/02619v1
/m/02619v1
Tom Holt
2001
a 8
abilities 1
actually 1
adjutantgeneral 1
also 1
an 1
and 2
any 1
as 2
australia 1
australian 1
become 1
book 1
britain 1
but 1
cause 1
chinese 1
comes 1
communication 1
concerns 1
consider 1
cover 1
daughter 1
decides 1
disarm 1
dragon 3
dragons 2
drought 1
enemies 1
eye 1
fall 1
falls 2
father 1
for 3
foul 2
get 1
global 1
government 1
he 2
her 2
here 1
herself 1
hideaway 1
his 1
hope 1
however 1
in 4
invading 1
is 5
karen 1
king 1
look 1
love 1
lure 1
machine 1
media 1
mode 1
mortal 2
multimedia 1
naturally 1
north 1
not 1
of 7
order 1
ordinary 1
outback 1
paul 2
plot 2
pretext 1
real 1
really 1
reason 1
runaway 1
she 2
so 1
son 1
superefficient 1
sworn 1
that 1
the 12
their 3
they 1
third 1
this 1
though 1
to 8
together 1
tycoon 1
use 1
uses 1
wants 1
weathermen 2
west 1
who 3
with 1
worried 1
