547959
/m/02nw18
/m/02nw18
Susanne Bösche

{"/m/016475": "Picture book", "/m/0dwly": "Children's literature"}
a 6
adventures 1
and 7
as 1
between 1
birthday 1
book 1
boyfriend 1
covers 1
days 1
describes 1
discussion 1
disgust 1
eric 5
expressing 1
family 1
father 1
few 1
fiveyearold 1
for 1
going 1
having 1
her 1
his 1
homophobic 1
household 1
in 2
is 1
jenny 5
karen 2
later 1
laundrette 1
life 1
lives 2
making 1
martin 4
mother 1
named 1
nearby 1
of 2
often 1
party 1
passing 1
preparing 1
quarrel 1
small 2
story 1
street 1
subject 1
such 1
surprise 1
the 8
them 1
this 1
to 1
together 1
up 1
visits 1
when 1
who 1
with 1
woman 1
