27257273
/m/0bwh4z3
/m/0bwh4z3
Lin Carter

a 4
afterwards 1
again 1
airship 1
airships 1
all 1
allies 2
an 1
and 8
another 1
are 2
as 1
assistance 1
attacked 1
az 1
basis 1
be 1
bearing 1
become 1
been 1
being 1
boy 1
but 3
by 3
cabin 1
called 1
callisto 1
captive 1
captivity 1
captured 1
cave 2
civilized 1
cliffhanger 1
composed 1
continue 1
cor 1
crash 1
creatures 1
damaged 1
dark 1
destroy 1
earth 1
ends 1
enemy 1
escape 2
evil 1
explores 1
far 1
fate 1
find 1
finds 1
five 1
fleet 2
flier 1
flock 1
flown 1
flying 1
for 2
force 1
forest 1
four 1
from 2
girl 1
has 1
heard 1
held 1
hemisphere 1
his 1
home 1
imprisoned 1
in 2
is 3
it 3
jandar 4
jonathan 1
jovian 1
jungle 1
koja 1
kuur 2
lair 1
lands 1
last 1
later 1
lukor 1
manage 1
manuscript 1
meet 1
memoir 1
mind 2
moon 1
more 1
mystery 1
notation 1
nothing 1
novel 1
of 11
on 1
once 1
only 1
or 1
other 1
people 2
piloted 1
present 1
pursuing 1
quest 1
retaken 1
retrieves 1
returns 1
secret 1
seek 1
ships 1
side 1
spots 1
stronghold 1
subsequently 1
teleported 1
thanator 2
the 27
their 1
them 2
themselves 1
they 3
this 1
three 1
thumb 1
time 1
to 7
tomar 1
tribe 1
ultimate 1
under 1
unknown 1
volume 1
whence 1
where 1
whom 1
with 4
wizards 2
ylana 4
zarkoons 3
