178842
/m/018df2
/m/018df2
Norton Juster
1961
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 15
activity 1
adopted 1
adventures 1
after 3
agree 1
ahead 1
air 2
alarm 1
alec 1
all 4
allow 1
allowed 1
allows 1
along 1
altercation 1
an 3
and 35
appoints 1
approval 1
are 6
armies 2
around 2
arrested 1
arrived 1
arrives 1
as 2
assembles 1
attached 2
attend 1
attention 1
awakens 1
away 2
azaz 5
back 1
banished 1
banquet 1
beautiful 1
because 1
becomes 1
bedroom 1
bee 1
been 3
between 1
beyond 1
bings 1
blustering 1
bored 1
bought 1
boy 2
but 3
by 4
capital 2
car 1
carnival 1
carries 1
castle 2
celebration 1
characters 1
chase 1
chroma 1
cities 1
clock 1
colorless 1
colors 1
conduct 1
contains 1
contend 1
day 2
decision 1
demons 2
dictionopolis 1
digitopolis 2
diner 1
disagreed 1
disappointed 1
discord 1
discovers 1
discuss 1
disharmony 1
disputes 1
doldrums 1
drives 3
dug 1
dungeon 1
eat 2
enjoy 1
equally 1
eraser 1
erases 1
every 1
everyone 1
expectations 1
fears 1
feeling 1
find 1
finds 2
first 2
flies 1
for 4
found 1
from 2
full 1
given 1
gone 1
goodbye 1
great 1
ground 1
group 1
grows 1
guests 1
guide 1
had 2
harmony 1
has 6
have 1
he 15
him 3
himself 1
his 8
history 1
home 2
hour 1
however 1
humbug 3
hungrier 1
ignorance 1
important 1
in 14
infinity 1
instantly 1
interesting 1
into 1
intrepid 1
is 8
its 1
joins 1
journey 1
journeyers 1
king 4
kingdom 3
knows 1
land 1
lands 1
laughing 1
learns 1
leave 1
leaves 1
letters 2
like 2
literally 1
little 1
lived 1
lives 1
looks 1
lost 1
lurking 1
magic 1
makes 1
map 2
marketplace 1
mathemagician 5
meet 1
milo 13
mine 2
miniature 1
mountains 1
must 1
mysterious 1
new 1
next 1
no 1
not 1
note 2
now 1
numbers 2
obstacles 1
obstructionist 1
obtain 1
of 16
off 2
officer 1
on 2
one 2
only 1
orchestra 1
out 1
overcoming 1
own 2
package 1
pays 1
pencil 1
place 1
plagued 1
plans 1
playing 1
plenty 1
precious 1
princesses 7
prison 1
proves 1
quest 2
questers 1
reach 1
reaches 1
reads 1
reason 2
reconciled 1
repel 1
rescue 2
rescued 1
return 3
returns 1
rhyme 2
road 2
room 1
route 1
rulers 2
says 1
school 2
seems 1
sees 1
senses 1
set 1
settled 1
several 1
short 1
shrift 1
since 1
sisters 1
sky 1
sold 1
somewhat 1
soon 1
spelling 1
spots 1
stew 1
stones 1
stop 2
subtraction 1
such 1
suddenly 1
sunset 1
taker 1
takes 1
talk 1
terrible 1
that 4
the 63
their 5
them 4
themselves 1
then 1
there 1
they 4
things 1
thinking 1
three 1
threeday 1
through 4
thrown 1
time 3
to 14
tock 5
tollbooth 5
toy 1
trivium 1
two 4
unabridged 1
until 2
vanished 1
various 1
very 1
visit 1
waste 1
watchdog 1
watching 1
way 2
weeks 1
welcome 2
were 1
when 2
where 4
which 2
who 5
wisdom 6
with 5
word 1
words 2
world 3
younger 1
