4347855
/m/0bydl7
/m/0bydl7
John Maxwell Coetzee
2002
{"/m/012jgz": "Autobiographical novel"}
a 4
according 1
affairs 1
after 1
alienated 1
allow 1
always 1
and 5
artistry 1
as 1
aware 1
becoming 1
computer 1
down 1
dreams 1
dull 1
engages 1
english 1
evokes 1
exterior 1
feels 1
finding 2
finds 1
flame 1
flourish 1
from 1
fulfilling 1
graduating 1
great 1
he 6
him 5
his 3
hope 1
however 1
in 5
inabilities 1
inside 1
inspiration 1
instead 1
into 1
job 1
mathematics 1
meets 1
moves 1
natives 1
never 1
none 3
of 8
passion 1
people 1
poet 1
poetry 1
produce 1
programmer 1
scorn 1
scorns 1
see 2
series 1
settles 1
slightest 1
takes 1
tedious 1
that 1
the 8
them 1
they 1
this 1
through 1
thus 1
to 4
up 1
with 1
woman 1
women 1
would 1
