2430354
/m/07chtk
/m/07chtk
Walter Mosley
1990
{"/m/02n4kr": "Mystery", "/m/03xj9g": "Hardboiled", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
148 1
a 13
about 1
actually 1
address 1
african 2
after 1
albright 6
allowed 1
although 2
american 1
americans 1
among 1
amount 1
an 2
and 19
angeles 1
approaches 1
are 1
area 1
arrested 1
as 2
asleep 1
at 2
back 2
bar 3
bars 1
be 2
begins 1
black 1
blackmail 1
blackmails 1
businessman 1
but 1
by 4
carter 4
claim 1
clean 1
conclusion 1
coretta 5
daphne 2
daphneruby 1
dead 1
dewitt 1
did 1
disappears 1
dividing 1
does 2
domestic 1
due 1
dupree 2
each 1
early 1
easy 7
eventually 1
ez 2
figures 1
finally 1
find 2
finding 1
finds 2
for 3
former 1
frequented 1
friend 2
friends 1
from 7
gangster 1
gives 1
goes 2
green 1
had 1
half 3
halfhearted 1
hanging 1
has 3
he 13
help 2
her 5
him 2
himself 1
hired 1
his 6
home 2
in 9
incorrect 1
information 1
initially 1
inside 1
into 1
invitation 1
is 10
it 2
job 1
joppy 3
keeps 1
kill 1
knew 1
knows 1
lapd 1
large 1
law 1
leak 1
leaves 2
life 1
local 2
los 1
love 2
man 2
many 1
meets 1
mess 1
midway 1
monet 6
money 4
morning 1
mortgage 1
mostly 1
mouse 4
murder 1
named 4
next 1
not 1
of 5
offers 1
old 1
only 1
other 2
out 2
outofwork 1
passing 1
pay 1
people 1
police 2
protected 1
questioning 1
really 1
requests 1
rescue 1
reveals 1
room 1
ruby 4
rumored 1
run 1
saying 1
says 1
set 1
sex 1
she 2
shield 1
shortly 2
shows 1
sister 1
sitting 1
so 1
some 1
south 1
stole 1
stolen 1
story 2
strife 1
suspect 1
taking 1
texas 4
that 8
the 19
them 2
then 2
thereafter 2
they 1
thieving 1
through 2
to 10
todd 2
told 1
trying 1
two 1
unable 1
unless 1
up 2
walks 1
wanted 1
watts 1
wealthy 1
when 2
white 3
who 4
will 1
with 8
woman 5
women 1
young 2
