14407897
/m/03d2ljs
/m/03d2ljs
George Sand
1849

14 1
1th 1
a 13
able 1
accepts 1
acknowledges 1
actually 2
advice 2
after 6
again 2
against 1
also 2
although 2
always 2
amount 1
an 1
and 36
annoyed 1
anything 2
approve 1
are 9
as 1
ashamed 1
ask 1
asks 1
at 3
attitude 1
attraction 1
aware 1
back 1
bad 1
because 1
become 1
being 2
besides 1
between 1
birth 1
book 1
both 1
bothering 1
boys 1
brother 7
but 8
by 2
celebration 1
century 1
clean 1
cold 1
comes 1
consequently 2
considered 1
contrary 1
conversation 1
could 2
countryside 1
cries 1
cross 1
crying 1
cure 1
dance 3
dark 1
day 3
deal 1
death 1
decides 2
deep 1
defends 1
demonstrative 1
despised 1
did 1
different 2
differentiating 1
dirty 2
disabled 1
discovers 1
discussion 1
do 3
does 2
each 1
else 1
end 2
engaged 1
engagement 1
enlist 1
even 3
everyone 2
face 1
fadette 12
fallen 1
farm 1
farmers 1
feelings 1
felt 1
finally 2
find 1
finds 1
first 1
follow 1
for 5
french 1
girl 2
given 1
goes 1
good 1
goodlooking 1
grandmother 2
grow 1
had 2
happens 1
happiness 1
hard 2
has 5
have 2
he 14
hears 1
help 1
helps 1
her 18
herself 1
hide 1
him 7
himself 1
his 8
how 2
however 2
humble 1
hurt 1
identical 1
if 1
ill 1
in 8
including 1
inherits 1
initially 1
intelligent 1
interested 1
is 13
it 5
jealousy 1
keep 1
keeps 2
kind 2
kiss 1
landry 19
large 1
later 1
leave 3
leaves 1
lives 1
long 1
look 1
looking 1
lot 1
love 1
loving 1
madelon 3
makes 2
manages 1
marries 1
mentally 2
merits 1
money 1
more 2
mother 1
must 1
needs 1
neighbouring 1
news 1
next 2
not 4
novel 1
obscure 1
of 5
old 1
on 1
one 2
only 1
other 3
out 1
overhears 1
parents 3
party 1
person 2
physically 1
place 1
popular 1
pride 1
probably 1
promise 2
properly 1
proud 1
quite 1
realised 1
realises 1
refuses 3
regret 1
regularly 1
relationship 2
relatively 1
reluctantly 1
remembering 1
reputation 1
respectable 3
revives 1
rich 1
right 1
river 1
scandal 1
second 1
secret 2
see 1
sensible 1
separated 1
separating 1
separation 1
she 12
shocked 1
shows 1
since 3
slow 1
some 1
something 1
soon 1
spreads 1
still 1
stop 1
stronger 1
such 1
suffers 1
sulks 1
sylvinet 6
takes 1
telling 1
tells 1
than 1
thanks 1
that 9
the 20
their 4
them 2
then 1
therefore 1
they 7
thinks 1
this 1
time 3
to 25
together 1
touched 1
try 1
twins 1
unaware 1
understand 2
up 1
urges 1
vain 1
very 6
village 3
villagers 1
want 1
wanted 1
wants 3
was 2
were 1
when 4
which 1
while 2
who 4
whomever 1
will 1
witches 1
with 8
work 1
would 1
years 1
young 1
