7410353
/m/0260v54
/m/0260v54
Anthony Powell
1971
{"/m/06nbt": "Satire", "/m/05hgj": "Novel"}
1456 1
a 8
about 1
absconded 1
ada 1
adapted 1
adulterers 1
all 1
also 1
and 5
anthony 1
apparent 1
are 1
arrival 1
arrives 1
at 6
bas 1
based 1
be 1
become 1
becomes 1
bohemian 1
book 1
burton 1
by 5
called 1
canal 1
causes 2
chinese 1
commons 1
confront 1
consent 1
craggs 2
cutts 1
dandy 1
dies 1
dining 1
disturbance 1
disturbed 1
doing 1
during 2
early 1
erridge 3
eventually 1
except 1
fancy 1
first 1
fission 4
flat 2
following 1
for 1
from 1
funded 1
funeral 1
further 1
go 1
goes 1
gypsy 1
has 3
he 1
his 3
house 1
howard 1
husband 1
importunate 1
in 4
infatuated 1
into 2
invited 1
is 5
it 1
jenkins 5
join 1
jones 1
julian 1
lady 1
large 1
late 1
later 3
launch 1
le 1
leaves 1
leaving 2
leintwardine 1
library 1
literary 1
maclarenross 1
magazine 1
manuscript 1
material 1
meets 3
member 1
mp 1
ne 1
nearby 1
new 1
nick 1
noisily 1
novel 1
novelist 1
now 1
of 7
old 2
on 3
pamela 7
park 1
parliament 1
part 1
party 1
powell 1
precious 1
problems 1
published 1
publishers 1
quiggin 4
reallife 1
research 1
returns 1
reunited 1
robert 1
roddy 1
school 1
secretary 1
see 1
seedy 1
service 1
sick 1
sillery 1
sir 1
so 1
society 1
some 1
staff 1
starting 1
suddenly 1
susan 1
takes 1
that 2
the 17
their 1
there 2
three 1
throws 1
thrubworth 2
time 1
to 10
tolland 1
trapnel 6
trouble 1
undertake 1
university 1
urn 1
vacation 1
visit 1
visits 1
where 1
which 1
while 1
who 1
widmerpool 4
widmerpools 2
winter 1
with 4
x 1
year 2
