8719138
/m/027g5ny
/m/027g5ny
Katherine Roberts

a 20
about 2
accept 1
accidentally 1
after 5
afterwards 1
again 1
against 1
agrees 1
all 1
allowing 1
although 2
an 2
and 39
angers 1
angry 1
apologises 1
appalled 1
appointed 1
approach 1
are 5
argue 1
arm 2
arrives 1
arriving 1
as 11
asks 5
asleep 2
assisting 1
at 3
attack 1
attacked 2
attempt 1
aushan 1
avalanche 1
away 3
azri 8
back 1
banquet 2
battle 1
be 2
beach 3
becalmed 1
becoming 1
been 4
before 1
begin 1
begins 5
being 4
black 1
board 1
boat 3
both 1
bound 1
briefly 2
but 6
by 7
cadzi 5
cage 1
can 4
cannot 1
captain 1
captive 1
captured 1
caring 1
carried 1
catch 1
cave 1
challa 1
chissar 1
claim 1
class 1
coast 1
coming 1
communicating 1
conditions 1
confused 1
contact 1
cramped 1
creating 1
criminals 1
danger 1
day 1
dead 1
death 1
delay 1
delegation 1
delighted 1
delivered 1
despise 1
dies 1
difficult 1
discover 1
discovering 1
discovers 3
discovery 1
disguised 1
dislikes 1
dismayed 1
down 1
drowning 1
drugged 2
eager 1
eating 1
echoes 4
echorium 4
eggs 3
elects 1
eliya 4
enjoys 1
entertainment 1
escape 2
escaped 1
even 1
evening 1
except 1
exhaustion 1
explain 1
explore 1
extracting 1
faint 1
fall 1
falls 1
farlistening 1
feel 1
fighting 1
filthy 1
final 1
finally 1
find 2
finds 1
first 5
fog 1
for 10
force 2
forced 1
forest 1
frahzin 1
frazhin 10
frenn 11
from 5
frozen 1
funeral 1
give 1
giving 1
go 1
goodbye 1
graia 2
group 3
halfcreatures 1
happens 2
has 7
have 2
he 13
heal 4
hear 2
help 4
her 6
him 2
his 4
how 1
however 2
hunt 1
hunted 1
hunters 2
hunting 2
if 1
ignored 1
ill 1
in 9
including 1
increasingly 1
initially 1
injecting 1
injured 1
insist 1
instructed 1
into 3
is 21
isle 8
it 3
javelly 3
journey 1
journeying 1
karchhold 1
karchlord 6
karcholders 2
keeping 1
kept 1
kherron 22
khiz 2
khizpriest 1
kidnapped 1
killed 1
killing 1
known 1
last 1
lazim 3
lead 1
leads 1
learn 1
learns 2
leave 3
led 2
left 1
leg 1
let 1
levels 1
lord 3
made 1
mainlander 1
mainlanders 1
make 1
makes 1
making 1
meanwhile 2
medicinebut 1
meeting 1
meets 1
merlee 14
metz 2
mimicking 1
mimics 1
more 1
mountains 3
must 1
named 1
narrowly 1
never 1
newly 1
newlyarrived 1
next 1
noise 1
novices 1
now 1
oarboats 1
of 20
off 2
on 11
one 2
only 2
orderly 2
orders 1
out 1
over 1
overboard 1
own 1
pair 1
palace 2
panic 1
paralysed 1
party 2
passage 1
peace 1
perfect 1
persuade 1
persuades 2
poison 2
pool 1
possession 1
power 2
prepares 1
presence 1
pretends 1
pretext 1
priest 2
priests 2
proceeds 1
progress 1
promises 2
push 1
pushes 1
put 2
puts 1
quetzal 11
quickly 3
realises 1
reformed 1
regain 1
release 1
reluctant 1
remain 1
remainder 1
remaining 1
remains 1
repeatedly 1
rescue 2
rest 1
return 3
returns 1
reveals 1
rialle 22
row 1
ruler 1
runs 1
safe 1
sailing 1
sailor 1
sails 1
saved 1
saying 1
sea 1
searching 1
second 1
secretly 1
security 1
see 2
serve 1
several 1
shares 1
she 10
ship 5
ships 1
shocked 1
shore 1
shortly 1
show 1
side 1
sight 2
silvertown 1
sing 2
singer 13
singers 4
singing 1
sink 1
sleep 1
sneaks 1
so 2
someone 1
something 1
son 1
songs 2
soon 4
spear 1
spends 1
spoke 1
spy 2
steal 1
still 2
stop 1
stopped 1
storm 1
storms 1
stowed 1
suffered 1
summons 1
surrounded 1
suspects 1
swears 1
swims 1
taken 1
takes 1
tasked 1
tells 2
test 1
that 8
the 97
their 2
them 4
then 4
therapy 1
there 1
they 7
this 1
through 2
time 3
to 64
together 1
toharo 6
towards 1
track 1
training 1
travel 3
travels 1
treaty 1
tries 3
truth 1
try 1
unconscious 1
until 1
up 4
upon 2
upset 1
use 3
uses 3
vessel 2
viciously 1
visit 1
voices 1
voyage 1
wakes 2
wants 1
war 3
warn 1
wavesong 4
way 1
what 3
when 3
where 4
which 4
while 1
who 7
whom 1
whome 1
will 2
winning 1
with 11
without 1
work 1
working 1
wounds 1
wreck 1
year 1
yehn 1
