13660227
/m/03cd9mf
/m/03cd9mf
Camilo José Cela
1942
{"/m/05hgj": "Novel"}
a 1
albert 1
amongst 1
an 1
and 2
as 2
autobiographical 1
awaiting 1
be 1
beginning 1
book 1
by 1
camus 1
cell 1
change 1
claims 1
condemned 1
controlling 1
could 1
culminating 1
does 1
duarte 1
execution 1
existentialism 1
explore 1
family 1
fate 1
firstperson 1
follow 1
franco 1
harsh 1
he 2
his 4
homicidal 1
in 2
is 2
it 1
its 1
known 1
life 2
like 1
ltranger 1
matricide 1
narratorprotagonist 1
never 1
norms 1
of 5
or 1
other 1
outsider 1
pascual 2
past 1
peasant 1
reality 1
regime 1
rural 1
said 1
seen 1
shows 1
society 1
some 1
spain 1
spanish 1
story 1
tale 1
tells 1
that 1
the 7
things 1
to 3
tremendismo 1
tremendously 1
unable 1
unwilling 1
up 1
version 1
whatever 1
while 1
will 1
