13697513
/m/03cfd03
/m/03cfd03
Perry Moore
2007
{"/m/05hgj": "Novel"}
a 16
abandoned 1
ability 1
able 1
about 1
absorbing 1
accepted 1
accidentally 1
afraid 1
after 1
again 1
aging 1
ago 1
alone 1
also 1
always 1
an 2
and 9
another 1
any 1
are 1
as 5
asleep 1
assigned 1
at 1
attracted 1
away 2
basketball 2
battle 1
be 1
because 1
becomes 1
been 1
before 1
begin 1
better 2
between 1
breaking 1
bus 1
but 4
by 1
calls 1
can 1
captain 1
circumstances 1
class 1
coach 1
colleague 1
come 1
comes 1
computer 1
consists 1
control 1
creed 1
dark 1
deal 1
decides 3
died 1
discovers 1
disease 1
disgraced 1
does 1
doesnt 2
done 1
due 1
during 2
dying 1
encounters 1
ends 3
enough 1
erase 1
estate 1
everyone 1
exacts 1
explains 2
exsuperhero 1
factory 1
faggot 1
falls 1
family 1
father 5
fellow 1
for 4
former 1
from 3
front 1
game 2
get 3
gets 1
getting 2
goran 3
group 2
guy 2
guys 1
hal 3
hands 1
has 6
have 1
he 14
heal 1
health 1
heat 1
hero 1
heroes 1
high 1
him 2
his 16
history 1
home 4
homophobic 1
however 1
if 1
immediately 1
in 4
initially 1
injuries 2
into 2
invitation 1
is 5
it 2
keeping 1
know 1
known 1
knows 1
laptop 1
larry 1
league 1
leagues 1
leave 1
leg 1
license 1
likely 1
living 1
local 1
longer 1
look 1
lowly 1
made 1
man 1
many 1
masturbating 1
minor 1
mixed 1
morph 1
most 1
mother 1
must 1
mysterious 2
mystery 1
never 1
no 1
now 1
of 7
on 2
once 1
one 2
opposing 1
order 1
other 1
out 2
outcast 1
own 1
painful 1
picture 1
players 1
playing 1
plays 1
porn 1
powers 1
prejudices 1
probationary 1
psychic 1
publicly 1
quickly 1
racist 1
ready 1
real 1
recognizes 1
related 1
remark 1
resumes 1
reunite 1
revealed 1
run 1
ruth 1
says 1
scarlett 1
school 1
secrets 2
seizure 1
several 1
so 1
society 1
solve 1
some 1
something 1
soon 1
star 1
straightens 1
stress 1
summer 1
superhero 1
superheroes 1
taken 1
takes 1
team 2
tell 1
tells 1
tendency 1
that 5
the 16
them 1
things 1
this 1
thom 13
time 1
to 16
toll 1
touching 1
town 1
trainee 1
trainees 1
trouble 1
try 1
tryouts 1
uberman 1
under 1
up 5
using 1
victory 1
villains 1
well 1
when 6
while 1
who 5
why 1
with 4
work 1
worker 1
works 2
world 1
would 1
years 1
yet 1
