2437272
/m/07cz71
/m/07cz71
Robert Musil

{"/m/05hgj": "Novel"}
118 5
30 1
32year 1
70 1
a 20
about 1
account 1
action 1
admirer 1
after 2
agathe 1
all 3
along 1
alternative 1
ambiguity 1
ambivalence 1
an 4
analysis 1
analytical 1
and 20
any 1
are 3
army 2
arnheim 3
as 9
associate 1
at 1
atmosphere 1
attempts 1
attitude 2
attracts 1
austria 2
austrian 7
available 1
be 1
beauty 1
become 1
being 1
bonadea 1
book 5
bordwehr 2
both 1
bright 1
brought 1
but 1
buy 1
by 1
called 1
campaign 3
capture 1
catch 1
cdrom 1
celebration 2
chance 1
character 1
characteristics 1
charge 1
chauvinism 1
civil 1
clarisse 1
cohesion 1
coincidence 1
collapse 1
collateral 2
combination 1
commonplace 1
condemned 1
conservative 1
contributed 1
count 2
country 1
couple 1
cousin 1
criminals 1
crosses 1
cultural 2
death 1
deciding 1
demonstrate 1
depending 1
describe 1
difficult 1
diotima 3
discussed 1
drafts 2
eastern 1
edition 1
eg 1
emperor 3
end 1
ending 1
ends 1
enters 1
entitled 2
ermelinda 1
essence 1
even 2
ever 1
existence 1
experience 1
exploit 1
eye 1
fact 1
fails 1
falsestarts 1
father 1
feast 1
features 1
feeling 1
feverishly 1
fields 1
find 1
first 1
followers 1
for 6
forays 1
form 1
frantic 1
franz 2
friend 1
fury 1
general 2
generally 1
german 4
get 1
go 1
great 1
happiness 1
has 1
he 2
her 2
him 1
himself 1
his 11
holds 1
honor 1
humanity 1
i 1
ideas 2
ii 1
imperial 3
in 11
incapable 1
incestuous 1
income 1
indifference 1
indifferent 1
insanity 1
inspiring 1
into 2
introduction 2
irony 1
is 12
it 2
joins 1
joseph 2
keenly 1
kind 1
knows 1
lack 1
large 1
lashes 1
last 1
leads 1
leinsdorf 1
life 3
main 1
make 1
man 1
many 1
marry 1
mates 1
mathematician 1
meanwhile 1
meet 1
meeting 1
millennium 1
minds 1
miraculously 1
mistress 1
modeled 1
moosbrugger 1
morals 1
most 3
murder 1
murderer 1
muse 1
musil 3
mystical 1
mystically 1
named 1
national 1
need 1
neurotic 1
nobleman 1
not 1
notdeciding 1
notes 1
novel 3
nymphomaniac 1
of 36
oil 1
old 2
on 2
one 1
only 1
or 5
organization 1
other 1
out 2
outbreak 1
outer 1
pages 1
parallel 1
part 1
participants 1
particularly 1
passivity 1
path 2
patriots 1
paul 1
peace 3
people 2
philosophical 1
philosophy 1
planned 1
plans 1
political 2
politician 1
preparations 1
prevails 1
principal 1
processes 1
profound 1
progress 1
proper 1
prostitute 1
protagonist 1
protagonists 1
provides 1
province 1
pseudoreality 1
published 1
qualities 2
raised 1
rapist 1
rathenau 1
reality 1
realpolitik 1
refusal 1
reign 2
royal 1
ruler 1
said 1
same 1
satire 1
says 1
search 1
second 2
section 1
see 2
sense 1
servant 1
she 2
siamesetwins 1
sister 1
situation 1
socalled 1
sort 1
soul 1
spirit 1
state 1
stirring 1
strangely 1
stumm 2
subjects 1
supremacy 1
systematic 1
take 1
team 1
that 6
the 42
their 1
themselves 1
there 1
they 2
things 1
this 2
thousands 1
to 19
toward 1
towards 1
tradition 1
tried 1
tries 1
try 1
turns 1
tuzzi 1
typical 1
ulrich 9
unpopular 1
upon 1
vague 1
versions 1
via 1
viennese 1
visions 1
volume 1
von 2
walter 2
walther 1
war 2
was 2
we 1
well 1
what 1
which 1
while 1
who 3
whoever 1
whose 1
wife 2
wilhelm 1
will 1
wishes 1
with 2
without 2
work 1
world 5
would 1
written 1
year 5
years 2
