30149875
/m/0g5b450
/m/0g5b450
Steve White
2006-12-26
able 1
advanced 1
after 1
aliens 3
alliance 1
an 1
and 1
anti 1
are 1
arrive 1
as 1
at 1
attempt 1
because 1
bug 1
civil 1
colonize 1
communication 2
decades 1
depart 1
do 1
fight 1
flee 1
forms 1
fury 1
homeworld 1
human 2
impending 1
in 1
inhabitants 1
inhabited 1
intelligence 1
join 1
leads 1
miscommunication 1
new 2
not 2
nova 1
of 2
off 1
old 1
opponents 1
order 1
partners 1
planet 1
recognize 2
stars 1
suicidal 1
terran 1
the 6
their 3
themselves 1
these 1
they 2
this 1
threat 1
throw 1
to 5
together 1
war 1
warfare 1
where 1
with 1
world 1
