9854090
/m/02ptxqw
/m/02ptxqw
Frances Hardinge
2005-10-07
18thcentury 1
a 3
ability 1
alternate 1
always 1
an 1
and 5
anything 1
are 2
as 2
be 2
bite 1
books 1
but 2
change 1
characters 1
clent 2
coffeehouses 1
con 1
crazed 1
crosses 1
cruel 1
danger 1
dangerous 1
death 1
deceit 1
discovering 1
does 1
doesnt 1
doublecrossing 1
dukes 1
entangling 1
enter 1
eponymous 1
exactly 1
floating 1
following 1
friend 1
gift 1
goose 1
got 1
has 1
hasnt 1
have 1
her 7
herself 1
his 2
in 4
is 1
it 2
keeps 1
kind 1
know 1
learns 1
life 2
living 1
locked 1
longed 1
love 2
man 1
may 1
mill 1
mosca 4
much 2
mye 1
nearly 1
of 3
one 2
only 1
onto 1
part 1
path 1
pet 1
racketeers 1
rare 1
read 1
realm 1
saracen 1
secret 1
seems 1
set 1
shady 1
she 3
small 1
smoothtalking 1
societies 1
soon 1
take 1
tale 1
that 2
the 3
themselves 1
thing 1
things 1
this 1
to 3
true 1
twelveyearold 1
uncle 1
until 1
up 1
where 1
who 1
wholl 1
will 1
with 1
words 2
world 1
would 1
yet 1
