11244251
/m/02r4xn9
/m/02r4xn9
Hugh Walters
1958
a 4
added 1
american 1
and 1
at 1
beacon 1
been 1
blast 1
british 1
by 1
carrying 1
causing 1
chris 1
cone 2
diminutive 1
domes 1
earth 1
emitting 1
enable 1
godfrey 1
has 2
havoc 1
homing 1
in 1
is 1
job 1
lunar 1
mons 1
near 1
neutron 1
next 1
nuclear 2
of 1
off 1
photographed 1
pico 1
piloting 1
plant 1
power 1
powerful 1
previously 1
radiation 1
rocket 1
rockets 1
situated 1
soviet 1
stations 1
strike 1
the 5
to 5
warheads 1
which 1
woomera 1
