3102550
/m/08rklt
/m/08rklt
Jeanne DuPrau

{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/01hmnh": "Fantasy"}
200 1
417 1
5 1
6 2
75 1
a 10
about 1
across 1
act 1
acts 2
against 2
agree 1
all 1
allowed 1
an 2
and 15
anger 1
anything 1
are 8
around 1
arrival 1
arrives 1
as 4
at 2
averages 1
back 2
beautiful 1
been 2
before 1
begin 1
being 1
belonging 1
book 1
both 3
boy 1
bravely 1
bright 1
brother 1
building 3
bulb 1
burn 1
burning 1
but 3
by 3
cant 1
care 1
caspar 1
catches 2
cities 1
city 4
civil 1
civilization 1
clean 1
climax 1
come 1
conflict 1
crane 2
create 1
crumbling 1
currents 1
days 1
decide 1
decides 1
describing 1
disappointed 1
disaster 1
discovered 1
disrepair 1
doctor 1
dont 1
doon 2
down 1
drawing 1
dreaming 1
due 1
each 1
electrical 1
ember 7
emberites 7
empty 1
end 1
enough 2
everybody 1
exhausted 1
expected 1
fact 1
fallen 1
find 2
finds 1
fire 3
floor 1
food 2
for 7
from 1
furniture 1
future 1
get 1
given 1
go 1
grand 1
growing 1
hall 1
happens 1
harrow 1
has 2
hassler 1
have 3
having 2
he 1
heightens 1
help 1
him 2
his 1
hoping 2
hotel 2
house 1
how 2
hungry 1
idea 1
in 11
inevitable 1
into 1
is 5
it 4
just 1
know 2
lands 1
leave 2
leaves 1
leaving 1
light 1
like 1
lina 3
live 1
living 1
long 1
making 1
mayfleet 2
meanwhile 1
metropolis 1
months 2
more 2
most 3
mount 1
mrs 1
murdo 1
mysterious 1
named 1
necessary 1
no 1
not 3
now 1
occurs 1
of 27
old 2
older 1
on 6
once 1
one 1
only 1
other 1
out 1
over 1
own 2
partly 1
passively 1
people 13
perpetrated 1
person 1
picked 1
pioneer 1
pitch 1
poppy 1
prior 1
provided 1
putting 1
rediscovery 1
refugees 2
reluctantly 1
resent 1
resentment 1
restless 1
results 1
rid 1
roamer 2
room 1
rooms 2
rushes 1
save 1
saves 1
school 1
science 1
seem 1
seems 1
sees 1
series 1
she 4
sides 1
six 1
sleep 1
small 1
soon 2
sparks 9
spiral 1
start 1
starving 1
stay 1
succeed 1
surface 2
survive 2
symbolized 1
take 2
teach 1
tensions 1
that 3
the 43
their 3
them 3
there 4
they 6
this 4
tick 1
to 27
told 2
torren 3
town 1
trapped 1
travels 1
treasure 1
tree 1
try 1
turns 1
underground 1
unpleasant 1
until 1
unwelcome 1
upon 1
vandalism 2
very 1
village 2
villagers 1
wandering 1
want 1
was 2
watch 1
when 1
where 1
which 3
whiny 1
who 2
will 2
with 2
years 1
