8455572
/m/02741ql
/m/02741ql
Mary Wollstonecraft


a 5
able 1
accomplishments 1
after 2
agrees 1
also 1
an 2
and 16
ann 6
anyone 1
are 2
as 1
at 1
attached 1
attract 1
back 1
barely 1
be 1
becomes 2
befriends 1
begins 1
bereft 1
between 1
books 1
both 1
brink 1
brother 2
but 4
by 2
can 1
cares 1
ceremony 1
charity 1
charles 5
considers 1
consumption 1
consumptive 1
continent 1
control 1
conventional 1
dancing 1
daughter 1
deathbed 1
debts 1
departs 1
depressed 1
description 1
devotes 1
die 1
dies 3
does 2
educates 2
eliza 1
end 1
england 1
escape 1
establish 1
europe 1
fall 1
falls 1
family 4
father 1
favours 1
feelings 1
few 1
finally 1
for 2
forced 1
fortune 1
from 1
further 1
girl 1
gives 1
griefstricken 1
grip 1
has 2
he 2
health 2
hears 1
heir 1
henry 4
her 16
heroine 1
herself 2
him 1
his 2
home 1
hopes 1
however 1
husband 1
ignored 1
immediately 1
imply 1
in 5
interest 1
into 1
introduced 1
is 8
last 1
leaving 1
life 1
limited 1
lines 1
lisbon 1
local 1
losing 1
love 2
loveless 1
man 1
marriage 3
mary 18
met 1
money 1
mother 4
much 1
natural 1
neglects 1
never 1
not 2
novel 2
novels 1
nursing 1
obsessed 1
of 9
off 1
on 2
only 1
over 1
pay 1
poverty 1
quite 1
rarely 1
reciprocate 1
refuse 1
regain 1
remains 1
requests 1
return 1
returns 1
room 1
rushes 1
same 1
separately 1
share 1
she 6
sickens 1
side 1
something 1
soon 1
stand 1
still 1
stunned 1
subsequently 1
such 1
suddenly 1
suitors 1
takes 1
taught 1
that 4
the 13
their 2
there 1
they 1
time 1
to 16
together 1
travels 1
trying 1
unable 1
unhealthy 1
unrequited 1
unsettled 1
until 2
using 1
values 1
wealthy 1
wed 1
when 1
who 5
will 2
with 4
world 1
worsened 1
young 1
