24141584
/m/07k58n_
/m/07k58n_
David Gaider
2009-03-03
{"/m/01hmnh": "Fantasy"}
a 20
abandoning 1
able 3
about 1
actions 1
after 9
again 1
agrees 1
ailis 3
all 1
also 3
alternatives 1
an 4
and 26
aptitude 1
are 2
armies 1
army 7
as 3
assassins 1
assured 1
at 3
attack 4
attacks 1
attempting 1
avoided 1
back 1
band 1
battle 1
be 2
become 4
been 2
before 1
begin 1
being 1
benefit 1
betray 1
betrayal 1
betrothed 1
blight 1
blind 1
bond 1
break 1
but 3
by 6
cailan 2
camp 2
cause 1
claims 1
close 2
closes 1
come 1
company 1
condition 1
continuing 1
convinces 2
country 1
crimes 2
crowned 1
cruelty 1
dane 1
danger 1
dangers 1
darkspawn 1
daughter 1
day 1
death 1
deception 1
deep 2
defeat 2
denerim 1
developing 1
died 1
discover 1
discovered 1
discovering 1
distance 1
do 1
doing 1
done 1
downfall 1
due 2
dwarven 1
elf 1
empire 1
enables 1
encounters 1
encourages 1
ensuring 1
escaped 1
escaping 2
eventual 1
exacts 1
executed 1
expel 1
facing 1
false 1
father 1
feelings 1
fell 1
fereldan 2
ferelden 3
fereldens 1
few 1
find 1
flee 1
following 1
for 13
formed 1
friends 1
from 1
giant 1
growing 1
guerrin 1
gwaren 4
had 3
has 9
have 1
having 1
he 2
help 1
her 6
here 1
hill 1
him 5
his 4
hobbles 1
however 2
if 1
illness 1
impending 1
importance 1
impress 1
in 7
including 1
increased 1
information 1
into 1
is 8
it 3
its 1
join 1
joins 1
just 1
justice 1
katriel 8
katriels 1
keeps 1
killed 1
killing 1
kills 1
king 4
korcari 1
later 1
lead 1
leads 1
led 1
life 1
lived 1
loghain 14
long 3
looking 1
lord 1
loss 1
love 2
loyal 1
luring 1
makes 1
maric 29
marics 1
married 1
massive 1
meet 1
meeting 1
meghren 4
messenger 1
moira 1
momentum 1
more 1
most 1
mother 3
murdered 2
mysterious 1
neighbouring 1
next 1
no 1
nobles 2
not 1
novel 2
now 1
occupation 1
occupied 1
of 23
off 1
omitting 1
on 5
once 3
one 1
only 1
opens 1
opposed 1
order 1
orders 1
orlesian 4
orlesians 2
out 2
outlaw 2
outlaws 1
outrage 1
part 2
pass 1
popular 1
position 1
powerful 1
pretense 1
promise 2
provides 2
queen 2
rage 1
real 2
rebel 5
rebellion 1
rebels 2
region 1
regretting 1
relating 1
relationship 1
remainder 1
remaining 1
remnants 1
reneged 1
repel 1
results 1
return 2
reveals 1
river 1
roads 2
romantic 1
rowan 9
rowans 1
run 1
safely 1
safety 1
secure 1
see 1
separated 1
series 1
she 4
siege 1
son 2
sought 1
spiders 1
spy 1
stay 1
stories 1
strategy 1
strengthen 1
support 1
take 1
taking 1
telling 1
tells 1
that 7
the 43
their 1
them 6
then 1
there 1
they 5
this 6
three 1
through 1
time 2
to 31
town 3
traitor 2
truce 1
tunnels 1
under 1
underground 1
unknown 1
until 1
up 1
using 1
victory 1
wants 1
war 1
warband 1
warns 3
was 1
west 1
what 3
while 1
who 8
whom 1
widespread 1
wife 1
wilds 4
will 2
wished 1
witch 1
with 5
within 1
woman 1
years 2
yet 1
