300390
/m/01rtr8
/m/01rtr8
Eoin Colfer
2003-04-27
13yearold 1
a 1
after 1
agree 1
aid 2
all 1
ambushes 1
and 5
any 2
artemis 7
at 1
be 1
bodyguard 1
book 1
businessman 1
but 1
butler 3
by 1
c 1
calls 1
captain 1
charges 1
chicago 1
cleared 1
condition 1
convinces 1
courtesy 1
created 1
criminal 1
cryogenics 1
cube 5
diggums 1
discovers 1
down 1
end 2
epilogue 1
fairy 2
far 2
fool 1
fowl 2
from 2
had 1
has 3
he 3
head 1
healing 1
held 1
him 5
his 3
holly 1
however 1
human 1
ii 1
in 2
incarcerated 1
is 7
it 3
jon 2
killed 1
later 2
lep 3
leprecon 1
made 1
magic 1
managed 1
manages 1
mastermind 1
meets 1
memory 2
mind 1
mulch 2
nearing 1
needle 1
of 7
on 1
one 2
plans 2
process 1
questioned 1
recovered 1
remained 1
restoring 1
retain 1
reveal 1
revealed 1
revive 1
revived 1
secret 1
short 1
show 1
sister 1
so 1
spiro 5
squad 1
staff 1
steals 1
stolen 1
supercomputer 1
surpasses 1
tasked 1
technology 2
that 3
the 18
them 1
they 2
to 8
track 1
when 1
where 1
which 2
who 1
wiped 2
with 3
