2780163
/m/0826f3
/m/0826f3
Larry Niven
1996
a 6
acolyte 2
adventures 1
aging 1
all 1
also 2
and 5
are 3
as 3
at 1
be 1
been 1
between 1
book 6
by 1
called 1
characters 1
chmee 1
come 1
consists 1
continuing 1
control 1
defences 1
details 1
devoted 1
died 1
early 1
end 2
engineers 1
enslaved 1
eventually 1
feeding 1
few 1
first 1
follows 1
for 1
found 1
from 1
half 1
has 1
have 1
he 1
healed 1
hindmost 3
hominid 1
hominids 1
ill 1
in 4
is 6
it 1
join 1
kill 1
kzin 1
large 1
louis 3
main 2
majority 1
many 1
nest 2
niven 1
now 1
observers 1
of 17
on 3
only 3
pair 1
part 1
plot 2
power 1
present 1
previous 1
protagonists 1
protector 1
protectors 3
relatively 1
restabilised 1
returns 1
rim 1
ring 2
ringworld 2
second 1
section 1
shadow 1
situations 1
some 1
sonto 1
species 1
story 2
struggle 1
tells 1
that 1
the 28
them 1
themand 1
this 3
threads 1
to 3
together 2
towards 1
two 1
us 1
vampire 2
vampires 1
variety 1
wall 1
what 1
when 1
where 1
which 2
who 4
wu 2
