9472197
/m/028b7f7
/m/028b7f7
Rupert Thomson
2005
{"/m/014dfn": "Speculative fiction", "/m/0g_jj": "Picaresque novel"}
a 25
accepts 2
adopted 2
adopting 1
after 6
again 1
agrees 1
also 1
an 3
and 21
appears 1
approached 1
are 3
arranged 1
as 6
asked 1
asks 1
assessment 1
at 5
attend 1
attending 2
attitude 1
available 1
away 2
back 1
barbed 1
bathysphere 3
be 9
because 1
bed 1
been 1
begin 1
begins 1
being 3
best 1
bilal 1
blamed 1
blue 3
bolts 1
bomb 1
border 2
by 5
canal 1
chance 1
changed 1
character 1
childhood 2
children 1
choleric 2
city 1
clear 1
close 1
club 1
companions 1
complex 1
concrete 1
conference 3
confusing 1
continues 1
day 3
days 1
dead 1
defining 1
described 1
deterioration 1
determined 1
diana 2
disappointed 1
discover 1
discuss 1
district 1
divided 1
door 1
down 1
drawing 1
duly 1
during 3
easily 1
employee 1
employing 1
end 1
entire 1
entirely 1
environment 1
escapes 1
ever 1
exciting 1
experience 1
explained 1
family 5
fate 1
father 1
few 1
find 1
finds 1
first 4
flashback 1
flashbacks 1
following 2
for 6
forces 1
four 1
from 5
gaining 1
gate 1
get 1
gets 2
girl 1
given 1
go 1
goes 4
going 1
gold 1
granted 1
guards 1
guests 1
had 1
hall 4
hand 1
has 2
he 12
head 1
health 1
heart 1
held 1
her 1
high 1
him 2
himself 1
his 23
home 1
hostel 1
hotel 2
humor 1
humors 1
if 2
immunity 1
in 9
informs 1
initially 1
integrated 1
interested 1
interesting 1
into 7
is 13
it 3
its 1
job 3
joining 1
kingdom 1
know 1
knowing 1
later 2
leaflet 1
learn 1
life 2
light 1
loaded 1
location 1
loss 1
lunch 1
majority 1
man 2
many 1
marie 1
may 1
meet 1
meets 2
melancholic 1
metropolis 1
minefields 1
ming 1
ministry 4
mother 1
motherwife 1
moved 3
mr 2
mysterious 1
name 1
need 1
new 6
next 2
night 2
not 2
nuts 1
observer 1
occupation 1
occupied 1
occurs 1
of 24
off 2
offer 1
officer 1
on 1
one 1
opens 1
others 1
over 1
pale 1
parry 3
participating 1
patrolled 1
person 1
persona 1
phlegmatic 1
place 1
possibly 1
protagonist 2
quarter 6
quite 1
realizing 1
rearranged 1
rearrangement 5
reasons 1
red 2
reek 1
relocation 1
reluctant 1
remainder 1
remaining 1
restaurant 1
reveal 1
revealed 1
same 1
sanguine 3
saying 1
scene 1
security 1
see 1
self 1
settles 1
she 1
sheraton 1
short 1
shortly 2
sister 1
situation 1
slow 1
small 2
social 1
some 1
something 1
staying 1
stepping 1
stopped 1
story 3
suddenly 1
suited 1
systems 1
take 1
taken 1
takes 1
teachers 1
tells 1
territory 1
that 9
the 54
their 5
them 2
then 2
there 1
these 1
they 2
this 1
thomas 21
thorpe 2
those 1
through 2
time 5
to 26
told 1
took 1
towards 1
train 2
trainee 1
transported 1
true 1
type 1
typified 1
university 2
up 1
upcoming 1
upon 1
used 1
van 1
very 1
via 1
victor 1
view 3
vishram 3
visited 1
walks 1
walls 1
walter 1
was 3
watched 1
way 1
wears 1
weave 1
were 1
when 3
where 2
which 3
whilst 1
whisked 1
who 3
wife 1
will 2
wire 1
with 3
witnessing 1
won 1
would 4
yellow 2
yet 1
you 1
young 2
younger 1
