21925888
/m/05pcrbf
/m/05pcrbf
Lisa Papademetriou
2005
{"/m/03mfnf": "Young adult literature"}
a 11
about 4
actually 1
adventures 1
after 1
all 1
alliance 1
and 22
any 1
anything 2
around 2
arrive 1
as 6
astrid 1
at 3
away 1
be 5
beauregard 1
because 1
becomes 2
been 1
begins 1
believe 1
best 3
better 1
booth 1
brain 1
buckingham 1
but 3
by 4
cacao 1
calls 2
can 1
cant 1
carnival 1
chat 1
chronically 1
chronicled 1
cinema 1
confesses 1
continue 1
conversation 1
conversations 3
crush 1
day 1
decide 1
decides 4
denying 1
do 1
doand 1
doesnt 4
end 1
ends 2
especially 1
even 2
eventually 3
everything 1
exactly 1
exhibit 1
facetoface 1
fact 1
falconer 1
falling 1
fight 1
find 2
finds 1
first 1
flat 1
for 6
fountain 1
frannie 20
freak 1
freaky 1
friend 3
friends 2
gay 4
gaystraight 1
german 1
get 1
gets 1
ginsenglaced 1
girl 1
give 1
glenn 7
go 2
going 1
grandmother 1
group 1
happened 2
has 3
he 10
help 2
helped 1
her 11
him 7
his 3
history 1
hit 1
hitting 1
homophobic 1
hook 1
hot 2
hovering 1
however 2
huge 1
humiliating 1
in 1
information 1
into 1
is 7
it 5
jealous 1
jeffrey 20
jenn 1
joke 1
just 1
keyboard 1
king 1
kiss 1
kisses 1
kong 1
later 1
laugh 1
leads 1
life 1
like 1
likes 1
lincoln 1
linedancing 1
little 1
look 1
madcap 1
made 1
make 2
makes 1
making 1
marcus 21
may 1
meanwhile 2
meeting 1
met 1
might 1
mistake 1
most 1
much 1
museum 1
must 1
nameand 1
nasty 1
natural 1
nausea 1
needed 1
negligee 1
next 1
not 1
of 11
off 2
on 5
once 1
one 1
online 4
or 1
osbourne 1
other 1
out 5
outside 1
over 3
park 1
perfectly 1
place 1
posing 1
puts 1
quasicowboy 1
realize 1
realizes 2
reconcile 1
relationship 1
reveals 1
rush 1
same 1
school 2
screen 1
seduce 1
see 1
serving 1
set 1
sexuality 1
she 7
shoot 1
shoulder 1
showing 1
shows 1
shy 1
signing 1
so 5
socalled 1
some 1
someone 2
somewhat 1
sorted 1
special 1
spending 1
still 1
stupid 1
such 1
sufferingas 1
suggests 1
sure 1
surprise 1
suspicions 1
take 1
takes 1
taking 1
talking 1
talks 1
telling 2
tells 3
tempted 1
that 14
the 14
them 4
there 1
these 1
they 6
thing 1
this 3
though 1
thought 1
throws 1
time 1
to 23
together 1
told 1
try 1
trying 3
twin 1
two 2
unable 1
unclear 1
up 7
using 1
vegetarian 1
volunteer 1
waiting 2
walk 1
was 1
wasnt 1
wearing 1
well 2
what 1
when 2
where 1
while 2
who 4
will 1
with 9
work 1
works 1
worry 1
would 1
writing 1
