481041
/m/02fnr4
/m/02fnr4
Max Barry
2003-01-21
{"/m/026ny": "Dystopia", "/m/06nbt": "Satire", "/m/014dfn": "Speculative fiction", "/m/0c082": "Utopian and dystopian fiction"}
a 9
able 2
about 1
after 3
agent 1
all 1
along 2
also 2
ambitious 1
an 2
and 9
angered 1
are 3
as 1
assassinate 1
at 2
athletic 1
attempt 1
back 1
becomes 1
beginning 1
begins 2
between 1
bidder 1
big 1
billy 3
both 1
bound 1
break 1
bring 1
business 2
but 3
buy 5
by 3
campaign 1
cant 1
caught 1
chain 1
chains 1
children 1
claire 1
company 2
computer 1
contemplate 1
contemplates 1
contract 1
contracted 1
cost 1
could 2
cred 1
dangerous 1
dating 1
daughter 3
day 1
death 1
destroys 1
disappearance 1
dollars 1
down 1
downhill 1
drum 1
due 1
employee 1
end 1
engineers 1
even 2
eventually 1
exploit 1
exxonmobil 1
fail 1
feeling 2
find 1
for 4
forced 1
former 1
french 1
from 1
funding 1
get 2
gets 2
girl 3
girlfriend 1
gives 1
go 1
good 1
government 7
guerrilla 1
hack 7
having 1
he 6
head 1
help 2
helping 2
her 6
herself 1
higher 1
highest 1
his 5
hot 1
if 1
illegal 1
in 9
increase 1
interest 1
introduced 1
involved 1
involving 1
is 7
it 3
items 1
jennifer 6
john 5
joins 1
just 1
justice 1
kate 1
keep 1
kidnap 2
kill 1
killed 1
land 1
leads 1
leak 1
level 1
life 2
low 1
made 1
mall 1
man 1
manufacture 1
marketing 2
mercenary 1
mercurys 2
mitsui 2
money 2
murder 2
murdered 1
never 1
new 1
nike 10
novel 2
now 1
nra 5
of 8
off 1
on 3
one 1
only 1
opening 1
operations 1
order 1
organization 1
out 1
over 2
own 1
part 1
pay 1
pennies 1
people 1
perpetrators 1
personally 1
planning 1
plans 1
plot 1
police 1
possible 1
power 1
president 2
ranks 1
readers 1
relationship 1
release 1
responsible 1
retrieve 1
revenge 1
sell 2
sells 1
several 1
she 3
should 1
sister 1
software 2
some 1
starts 1
states 1
stockbroker 2
street 1
subcontracts 1
successful 1
sudden 1
suicide 1
sums 1
tag 1
take 1
takes 1
teeters 1
tells 1
that 1
the 28
them 1
then 1
they 1
this 1
thousands 1
throughout 1
to 25
track 1
transactions 1
try 1
turn 2
ultimately 1
unable 1
unemployed 1
united 1
until 1
up 2
upon 1
ups 1
uses 2
various 1
vice 1
violet 7
virus 2
water 1
way 2
which 3
who 7
with 1
word 1
world 1
worst 1
