7258533
/m/025xh0m
/m/025xh0m
Steven Brust
1996
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 12
ability 1
about 2
accident 1
actions 1
admits 2
adventures 1
after 1
agency 1
agent 1
agents 1
ago 1
agrees 4
allowed 2
also 2
alternate 1
ambushed 1
an 4
and 18
another 1
any 1
apparently 1
appears 1
arcane 1
architect 1
around 1
as 2
asks 1
assassinated 1
assassination 2
assassins 1
at 1
athyra 1
bank 1
bankruptcy 1
banks 2
be 3
because 1
becomes 1
been 1
before 1
begins 2
being 2
best 1
boss 2
both 1
boy 1
break 1
bring 1
burglaries 1
burglary 1
business 1
businesses 1
businessman 1
but 1
by 5
calls 1
can 1
cannot 1
causing 1
cawti 7
changed 1
child 1
citing 1
citizens 2
city 1
closing 2
comfort 1
compliments 1
conducts 1
confronts 1
conspiracy 2
conspirators 3
contact 1
contacts 1
cottage 1
course 1
covers 1
covert 1
coverup 1
crime 1
damaged 1
death 3
deception 1
deed 1
determines 2
devastated 1
died 1
discover 2
disguises 1
displayed 1
documents 1
dragaeran 1
during 3
empire 3
end 1
entire 1
escapes 1
estranged 1
even 1
events 2
everything 1
evicted 1
exceptions 1
existence 1
expected 1
explain 1
fact 2
favor 1
final 1
financial 1
find 2
fix 1
fold 1
for 5
from 7
fugitive 1
further 1
fyres 6
get 1
goes 1
government 1
greatly 1
group 1
had 2
has 5
he 8
healer 2
help 5
her 14
him 2
himself 1
his 4
history 1
house 1
identity 2
if 2
illusion 1
imperial 4
in 7
including 2
infamous 1
information 1
insists 1
instances 1
into 2
investigating 1
investigation 1
investigations 2
investigators 1
involved 1
is 7
jhereg 5
judged 1
kiera 16
killed 1
killing 1
kills 1
knowledge 1
knows 2
labyrinth 1
land 1
late 1
lavode 1
lays 1
learned 1
least 1
letter 2
loans 2
local 2
loiosh 1
maintain 1
makes 2
making 1
mansion 1
many 1
market 1
meet 1
military 1
mind 1
minister 1
more 2
most 4
mother 6
name 1
navigates 1
norathar 1
northport 2
not 1
notice 1
novel 1
number 1
of 27
offering 1
omissions 3
on 2
one 5
only 2
orca 1
organization 2
out 3
owned 1
patterns 1
people 1
performs 1
person 1
pieces 1
place 1
powerful 1
private 1
problem 1
profit 1
progress 1
pronounce 1
protect 1
pumps 1
put 1
questioning 1
quick 1
quickly 1
recent 1
records 1
relatives 1
respond 1
responsible 1
rest 1
return 2
reveals 1
revelation 1
revenge 1
ruined 1
savn 3
scope 1
secret 2
secrets 2
seemingly 1
sending 1
sends 2
sethra 2
several 3
she 7
small 1
some 4
sorceress 1
sorted 1
speaking 1
stability 1
stony 3
story 2
succeed 1
survive 1
suspicious 1
syndicates 1
take 1
takes 1
tale 2
teckla 1
tell 1
telling 1
tells 2
than 1
that 9
the 42
them 1
then 1
these 2
thief 1
this 1
those 1
through 1
time 1
to 22
total 1
treasury 1
true 1
truth 1
ultimately 1
underway 1
up 1
use 1
vlad 21
vonnith 3
was 4
week 1
went 1
when 1
while 1
who 5
whom 1
whose 3
why 1
wife 1
will 5
wishes 1
with 5
without 1
world 1
would 1
yacht 1
young 1
