2674646
/m/07x2vh
/m/07x2vh
Susan Cooper

a 6
about 1
ages 1
all 2
an 1
and 7
another 1
antique 1
apples 1
as 3
at 1
attention 1
back 2
becomes 1
been 1
belongs 1
beloved 1
black 1
boggart 9
boggarts 1
boobytrapping 1
brother 1
bursts 1
busy 1
but 3
butter 1
by 1
can 3
canada 2
carrier 1
castle 4
christmas 1
color 1
come 1
computer 1
concerned 1
crashes 1
crazy 1
delivers 1
desk 1
destined 1
dies 1
displeased 1
do 2
downtown 1
drafty 1
drive 1
electric 1
emily 2
family 3
far 1
fascinated 1
filching 2
find 2
finds 2
for 3
forth 1
free 1
from 4
game 1
gizmos 1
greatuncle 1
halloween 1
happy 1
has 2
haunted 1
have 2
havoc 1
he 6
her 1
him 1
himself 2
his 5
history 1
hole 1
home 2
hospital 1
host 1
house 1
if 2
in 3
inhabiting 1
inherited 1
inside 2
intention 1
interesting 1
into 1
is 4
it 2
its 2
jessup 4
job 1
keep 3
kids 1
kitchen 1
knotting 1
last 2
life 1
lights 1
lived 2
look 1
macdevon 2
macdevons 1
mail 1
march 1
mind 1
mischief 1
mistakenly 1
modern 1
most 1
much 1
must 1
new 5
no 2
oatcakes 1
of 10
once 1
out 2
own 2
owners 2
package 1
past 2
pay 1
peanut 1
pizza 1
possessing 1
pranks 1
prettier 1
problem 1
pry 1
quickly 1
ready 1
returns 1
room 1
scotland 1
seems 1
send 2
set 2
she 1
shipped 1
shoelaces 1
since 1
sorts 1
spirit 1
sulking 1
swears 1
terms 1
that 2
the 24
their 1
there 1
they 2
theyve 1
thing 1
this 2
timeless 1
to 13
too 1
toronto 2
traffic 1
trashing 1
tricks 1
tumbledown 1
tv 1
upon 1
van 1
video 1
volnik 2
way 2
ways 1
welcome 1
well 1
were 1
when 4
where 1
who 1
whole 1
whove 1
with 2
world 1
wouldnt 1
wreaking 1
