1475691
/m/054gx4
/m/054gx4
Robert Ludlum
2000-10-31
{"/m/02n4kr": "Mystery", "/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
5 1
a 23
abdomen 1
able 1
about 2
abu 1
after 4
again 2
agency 2
agent 1
agrees 1
alias 3
all 1
allow 1
amassing 2
american 2
an 3
and 21
another 1
any 1
appears 1
archives 1
are 5
around 1
arsenal 1
as 1
assume 1
assumed 1
assured 1
at 4
attack 1
away 1
bank 3
barely 1
barett 1
battle 1
be 8
because 2
becomes 1
before 3
begins 1
being 1
blowing 1
boss 2
bryson 6
business 2
businessman 1
by 5
byzantine 1
cathode 1
central 1
ceo 1
certain 1
choice 1
cia 1
colleague 1
companies 2
company 2
confronts 1
contacts 1
continues 1
control 2
convinced 1
course 1
cover 1
crash 1
created 1
days 1
death 1
deep 1
defective 1
deputy 1
designed 1
destroyed 1
destroys 1
destruction 1
devices 1
director 1
directorate 9
disables 1
discover 1
doing 1
double 1
drunkenness 1
dunne 3
edmund 1
elena 4
ending 1
enemy 1
engineered 1
english 1
ensuing 1
entering 1
entire 1
escape 1
escaped 1
essentially 1
every 1
everything 1
everywhere 1
executed 1
executives 1
explains 1
eyes 1
find 2
finds 1
fires 1
follows 1
for 4
forced 1
former 4
from 4
gennady 1
get 1
go 1
goes 2
going 1
government 1
gregson 1
group 1
gru 1
guests 1
guns 1
harry 2
has 3
have 1
he 19
head 1
headquarters 3
health 1
helicoptered 1
hezbollah 1
him 7
his 8
history 1
home 1
horrifies 1
however 2
hurt 1
implication 1
in 5
including 1
infiltrate 1
infiltrates 1
information 2
initial 1
insurance 1
intelligence 2
interests 1
international 1
interrupted 1
into 2
is 16
isolated 1
it 2
its 1
jan 1
job 1
jonas 1
killed 2
lanchester 1
largest 1
layla 1
lead 1
leader 1
leaders 1
learn 1
learns 3
left 1
life 1
live 1
lives 1
location 1
lost 1
lover 1
machine 1
machinery 1
manages 1
manning 4
mansion 3
many 1
masterminds 1
meet 2
meeting 1
meets 2
member 1
members 3
meredith 1
mission 1
money 1
monitor 1
monitoring 1
most 1
move 1
must 1
name 1
next 1
nick 1
now 2
oblivion 1
of 20
on 5
only 1
operation 3
organization 4
oscillator 1
out 2
over 1
overthrowing 1
own 2
owned 1
owns 1
parents 1
part 2
peace 1
penetration 1
people 1
poet 1
point 1
politician 1
politicians 1
popular 1
powerful 1
professor 2
prometheus 5
promises 1
protagonist 1
purchased 1
pursues 1
pushing 1
puzzles 1
quietly 1
really 3
respected 1
revelation 1
richard 1
rosovsky 1
russian 1
satellite 1
satellites 1
saved 1
saying 1
says 1
search 2
seemingly 1
seems 1
shocking 1
shot 1
smart 1
sneaks 1
software 1
soil 1
sold 1
some 1
somewhat 1
stab 1
stop 1
story 1
superfbi 1
supplied 1
surrounded 1
surveillance 1
systematix 1
take 1
tanker 2
taps 1
technician 2
ted 3
terrorist 3
terrorists 1
that 13
the 51
their 4
them 1
then 1
there 3
thereby 1
they 2
theyre 2
this 2
though 1
through 1
thus 1
to 23
told 1
touch 1
trail 1
trained 1
trapped 1
treaty 1
tropical 1
tunisia 1
turned 1
tv 1
under 3
undertaken 1
united 1
until 2
up 1
vansina 2
virtual 1
waller 7
was 2
waterman 1
ways 1
we 3
weapons 3
well 1
went 1
what 1
when 3
which 3
who 3
wife 2
will 1
wired 1
with 5
world 3
would 3
years 1
