4596028
/m/0cbrf1
/m/0cbrf1
Anthony Powell
1962
{"/m/06nbt": "Satire", "/m/05hgj": "Novel"}
13 2
138 1
a 7
adapted 1
addiction 1
affairs 1
after 3
albert 3
all 1
an 1
and 4
anthony 1
anticipates 1
appear 1
appears 1
are 2
army 2
arriving 1
as 1
assassination 1
at 6
attack 1
attempting 1
autumn 1
before 1
begins 1
being 1
bellevue 2
betty 1
billson 1
black 1
bob 1
boyhood 1
bracey 1
brother 1
business 1
but 2
by 7
castle 1
causes 1
clear 1
collects 1
commission 1
consent 1
conyers 1
cook 2
cottage 1
day 1
deadly 1
death 1
deserted 1
dinner 2
disciples 1
disclosure 1
donners 3
dr 2
drawing 1
drinking 1
drug 1
duport 1
during 1
effected 1
end 1
equally 1
evening 2
eventual 1
eventually 1
expiration 1
finds 2
flashback 1
for 4
former 1
from 1
gain 1
general 1
giles 2
gives 1
great 1
grip 1
has 1
here 1
his 3
homeless 1
hotel 2
humor 1
ii 1
in 10
is 3
jean 1
jeavons 1
jenkins 6
lady 1
last 1
late 1
loved 1
lovers 1
loves 1
lunching 1
magnus 1
material 1
matilda 1
meets 1
molly 1
moreland 1
morelands 1
mrs 1
naked 1
near 1
nervous 1
nick 5
notice 1
now 2
occultist 1
of 8
on 2
out 1
outbreak 1
painful 1
parents 1
parlourmaid 1
part 2
party 1
performing 1
photographed 1
portrayed 1
powell 1
published 1
reencounters 1
room 1
run 2
sarajevo 1
scene 1
seaside 1
second 1
seen 1
sees 1
series 1
servant 1
seven 1
sins 1
sir 1
small 1
society 1
soldier 1
staying 1
still 1
stourwater 2
suffused 1
summer 1
tableaux 1
taken 1
tapestries 1
tea 1
ted 1
tells 1
templer 2
the 24
their 1
this 4
to 4
trelawney 2
triggers 1
tycoon 1
uncle 2
unexpectedly 2
uniform 1
up 1
urgent 1
volume 1
war 2
who 2
widmerpool 1
wife 1
with 6
world 1
