255971
/m/01lyfq
/m/01lyfq
Thomas Mann
1912
a 35
abandoned 1
about 2
accompanied 1
achievement 1
acquired 1
adamantly 1
admiration 1
admirer 1
admits 1
adolescent 1
advising 1
affect 1
after 4
afterward 2
afterwards 3
again 2
age 1
agent 1
aging 1
akin 1
all 1
almost 1
aloud 1
amidst 1
among 1
an 11
and 38
angrily 1
angry 1
appalled 1
approaches 1
approximation 1
are 1
aristocratic 2
around 2
art 1
artistic 2
as 3
ascetic 1
aschenbach 26
assured 1
at 12
attempt 1
attire 1
attraction 1
attractive 1
author 1
authorities 1
avoid 1
aware 1
away 2
back 1
bains 1
barber 2
be 3
beach 3
beautiful 3
beauty 1
because 1
beckoning 1
been 2
begins 3
being 1
belligerently 1
belongs 1
bested 1
between 1
body 2
boy 12
boys 1
breaks 1
brief 1
british 1
but 3
buys 1
by 2
can 1
cemetery 1
chair 2
character 1
charming 1
checks 1
cholera 1
city 5
classically 1
close 1
coarselooking 1
coast 1
collapse 1
companion 1
company 1
conceives 1
considers 1
constantly 1
contagion 2
contemplating 1
continue 1
contrast 1
corrupting 1
create 1
crosses 1
curiously 1
daily 1
danger 3
days 2
decides 4
deck 1
dedicated 1
deny 1
department 1
departure 1
des 1
despised 1
develops 1
dignity 1
dinner 1
dionysian 1
directs 1
disciplined 1
disconcerted 1
discover 1
discovered 1
discovers 2
discreetly 1
disease 1
disgust 1
disinfectant 1
disreputablelooking 1
disturbing 1
does 1
down 1
dream 1
dressed 1
during 1
dyed 2
early 2
eating 1
eats 1
elderly 1
embarrassed 1
empty 1
en 1
encounter 1
ennobled 1
entertain 1
entranced 1
epidemic 1
even 1
evening 1
eventually 2
everywhere 1
exchange 1
exhausted 1
exotic 1
experiences 1
face 2
fairly 1
false 2
family 3
famous 1
feeling 2
feelings 2
feels 1
fertile 1
few 3
fifties 1
fight 1
filled 1
finally 1
finds 1
first 2
follow 1
following 1
follows 1
foppish 1
for 6
foreigner 1
foreignerwho 1
former 1
fourteen 1
freshly 1
fret 1
from 1
full 1
garden 1
glance 1
glances 2
go 1
goes 2
gondolieranother 1
grand 1
greek 1
group 1
guardians 1
gustav 1
had 1
hair 1
halfway 1
happily 1
hard 1
has 6
have 2
he 34
health 4
heart 1
heat 1
hidden 1
highspirited 1
him 13
his 26
holiday 1
honor 1
hot 1
hotel 6
however 2
htel 1
humid 1
i 2
ideal 1
if 2
ignores 1
ill 1
illusion 1
imagery 1
in 20
indication 1
instills 1
intense 1
interest 2
into 4
is 20
island 2
it 4
jasiu 1
knowing 1
lad 1
later 3
leaning 1
leave 3
leaves 1
leaving 1
lido 1
life 1
like 3
listens 1
lobby 1
location 1
look 4
looking 2
loses 1
lost 2
love 1
luggage 1
lunch 1
lurking 1
main 1
makeup 1
man 5
may 1
meant 1
minutes 1
misdirected 1
moment 2
more 5
morning 1
mother 1
move 1
mutual 1
name 2
narcissus 1
nature 1
ndash 1
near 1
nearby 2
never 1
next 3
night 2
no 1
not 1
nothing 1
notice 1
notices 2
nuns 1
oblivious 1
obsession 1
occasional 1
odour 1
of 21
old 1
older 2
on 5
once 1
onceformidable 1
one 4
only 2
openly 1
opens 1
oppressive 1
or 1
orders 1
orgiastic 1
out 2
outside 2
over 3
overhears 1
overjoyed 1
overripe 1
own 3
painted 1
parapet 1
part 1
passion 1
passionately 1
path 1
people 1
period 1
persistently 1
persuades 1
plan 1
planned 1
platonic 1
pleases 1
point 1
polish 2
pose 1
posted 1
powerful 1
pretends 1
primordial 1
pula 1
quickly 1
railway 1
rallies 1
reaches 1
realises 1
realizes 2
really 1
reason 1
recently 1
redhaired 3
reflection 1
regret 1
reluctantly 1
remain 2
repeatedly 1
repeats 1
resolves 1
rests 1
result 1
return 1
returns 2
reveals 1
rise 1
risk 1
rouged 1
round 1
route 1
row 1
ruins 1
rushes 1
sailor 1
salubrious 1
sculpture 1
sea 1
secretly 1
sees 5
selfrespect 1
sense 1
serious 2
severely 1
severity 1
sexual 1
shadows 1
shellfish 1
ship 1
shipbound 1
shop 1
sideways 1
sight 1
singers 1
sirocco 1
sisters 1
skullfaced 1
smells 1
smile 1
smiling 1
so 4
solitary 1
some 2
somehow 1
songs 1
soon 4
speaks 1
spying 1
square 1
stands 1
stares 1
staring 1
start 1
startled 1
station 1
stealing 1
stimulated 1
story 1
strange 1
strawberries 1
street 1
strolling 1
strong 1
suit 1
suite 1
supremely 1
surreptitious 1
swampwilderness 1
sweeps 1
table 1
tadzio 12
take 2
takes 2
teeth 1
than 1
that 12
the 66
them 1
then 2
there 3
they 1
think 1
thinks 2
third 1
thirsty 1
this 2
though 2
through 1
thus 1
to 45
too 1
touches 1
tourists 1
travel 1
traveling 1
tried 1
tries 1
trip 1
troupe 1
trunk 1
turns 2
two 2
unfamiliar 1
unlicensed 1
unspecified 1
unsupervised 1
unvoiced 1
uplifting 1
usual 1
venice 6
vision 1
visits 1
von 2
wades 1
wait 1
walks 1
wander 1
warning 3
was 2
watches 1
weak 1
weather 1
weeks 1
well 1
wharf 1
what 1
when 2
whenever 1
where 4
while 4
whispers 1
who 8
widowed 1
wig 1
will 1
with 4
worded 1
would 1
writer 1
years 1
you 2
young 1
youth 1
youthful 1
youths 1
yugoslav 1
