8874460
/m/027mws0
/m/027mws0
Karen Traviss

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 4
against 1
and 6
approaching 1
army 1
as 1
been 1
between 1
blur 1
both 1
citizensfrom 1
civilians 1
clone 1
colors 1
continue 1
criticalor 1
crush 1
dangerous 1
desperate 1
discovery 1
doubt 1
elite 1
enemy 1
fight 1
foe 1
fragile 1
friend 1
generalsfind 1
grand 1
growing 1
have 1
hearts 1
illusion 1
in 3
inferno 1
is 1
its 1
jedi 1
lines 1
loyalty 1
make 1
members 1
menace 1
mind 1
missions 1
more 2
never 1
new 1
of 2
omega 1
only 1
ops 1
republic 1
reveal 1
secret 1
separatists 1
sergeants 1
shakes 1
shifting 1
sides 1
special 1
squad 1
that 1
the 8
their 3
themselves 1
threatens 1
to 3
true 1
truth 1
up 1
victory 1
warriors 1
will 1
