13071925
/m/02z5dnq
/m/02z5dnq
Joyce Carol Oates

{"/m/02xlf": "Fiction"}
a 7
ability 1
absent 1
act 1
adolescence 1
adulthood 1
affairs 1
after 4
age 1
almost 2
already 1
an 1
and 19
annihilation 1
another 2
anxiety 1
any 1
appear 1
are 1
around 1
as 3
asked 1
at 3
attention 1
award 1
awe 1
back 1
beautiful 1
become 1
beginning 1
begins 1
being 2
belief 1
blind 1
bloody 1
body 1
boone 2
brought 1
brutal 2
burst 1
but 2
by 4
causes 1
cellar 1
central 1
ceremony 1
certain 1
changed 1
character 3
charismatic 1
childhood 1
children 1
chloe 1
closinggraduation 1
coming 1
compulsively 1
counselling 1
crazy 1
cruel 1
daughter 1
days 1
death 1
desperately 1
developed 1
devotion 1
displays 1
does 1
doesnt 1
dog 1
doll 1
drifts 1
during 1
early 2
english 2
enoch 1
esteem 1
eventually 1
excel 1
face 2
father 1
feels 1
following 1
follows 1
for 4
formed 1
forms 1
friends 1
from 4
front 1
gang 1
gangcult 1
gets 1
girl 2
gives 2
good 1
has 1
have 1
having 1
her 24
herself 2
hiding 1
high 1
hits 1
home 1
hot 1
in 2
incredibly 1
inflicting 1
ingrid 4
inner 1
instead 1
involved 1
is 9
journey 1
justice 1
killing 1
known 1
law 1
leader 1
leaves 1
life 2
locked 1
lonely 1
love 1
low 1
luck 1
luke 1
male 1
man 1
many 2
master 1
men 1
mother 2
motorcycle 1
much 2
mutilation 1
name 1
needed 1
needs 1
neglected 1
no 1
not 1
novel 1
obviously 1
of 13
on 1
one 2
only 1
onto 1
openly 1
out 1
own 1
pain 1
partnership 1
peers 1
personality 2
physical 1
place 2
poem 1
poems 1
poetic 1
poets 1
point 2
police 1
population 1
prospect 1
provide 1
psychiatrist 1
puts 1
rape 1
read 1
reading 1
real 1
recognised 1
rescued 1
ridiculed 1
sacrificial 1
satan 1
scene 1
school 4
scratch 1
scratching 1
seemed 1
seemingly 1
seems 2
self 1
served 1
she 11
sign 1
skaggs 1
sleeps 1
so 1
some 1
sores 1
story 1
teacher 1
tempered 1
that 2
the 18
this 3
though 1
through 1
to 10
together 1
trouble 1
unable 1
undergoes 1
unspecified 1
upon 1
usual 1
veteran 1
vietnam 1
watching 1
weaker 1
when 1
where 1
who 2
with 5
work 1
years 1
