1776850
/m/05w1n3
/m/05w1n3
Jeffrey Archer
1979
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
106 1
18 1
20th 1
8 2
a 24
abel 18
able 1
about 1
after 2
afterwards 1
agrees 1
along 1
also 1
america 1
amid 1
an 1
and 35
anonymous 1
anyone 1
apart 1
appoints 1
april 1
ar 1
arch 1
as 2
asks 1
assumes 2
at 5
attack 1
attempts 1
authority 2
backer 3
band 2
bank 9
banker 1
baron 7
be 3
become 2
becoming 1
before 4
befriends 1
begets 1
beginning 1
bequeathes 1
best 1
between 1
birth 1
board 1
book 1
born 3
boston 1
both 1
boutique 1
brahmin 1
breaks 1
bring 1
british 1
builds 1
business 1
but 3
buys 1
by 7
cabot 2
can 2
capture 1
castle 2
century 1
chain 3
chairman 1
changes 1
child 1
classes 1
collaborating 1
columbia 1
comes 1
commits 1
committing 1
common 2
companion 1
competition 1
condition 1
considers 1
consulate 1
converts 1
date 1
daughter 3
daughterinlaw 1
david 2
davis 3
day 1
dead 1
decides 1
depression 1
desperately 1
didnt 1
dies 5
diplomats 1
disaster 1
discipline 1
displays 1
divorces 1
dreams 1
during 3
dying 1
each 2
east 1
elder 1
emigrated 1
emigres 1
empire 1
enough 1
entered 1
escape 1
eventually 1
every 1
everything 1
except 2
exceptional 1
expresses 1
extraordinary 1
facing 1
fall 1
family 1
father 2
fatherless 1
fathers 2
filled 1
finally 1
find 1
finds 1
flagship 1
florentyna 7
follows 1
food 1
for 2
forest 1
forgive 1
found 1
france 1
friend 1
from 7
front 1
gambling 1
george 1
germans 1
get 1
gets 1
go 1
grandson 2
great 2
group 2
grows 1
had 2
hand 2
hands 1
happen 1
hardships 1
harvard 2
has 2
hates 1
have 3
he 13
heir 1
help 1
henry 5
him 8
his 26
home 3
hotel 7
hotels 1
i 2
ii 1
illmanaged 1
impressed 1
in 18
intelligence 2
interested 1
is 10
it 1
ja 1
kane 17
killed 1
know 1
knowing 1
koskiewicz 2
last 1
later 1
leaves 1
leaving 2
leon 2
leroy 1
lester 3
life 3
like 1
loses 1
love 1
lowell 1
made 1
man 1
manager 1
manages 3
many 2
married 1
marries 2
mathew 1
maxton 2
meanwhile 1
meet 3
meetings 1
memory 1
men 1
mentions 1
merge 1
middle 1
might 1
migrates 1
miscarriage 1
missing 1
money 1
most 1
mother 2
moved 1
name 2
named 4
nearly 1
needs 1
night 1
nipple 1
not 1
nothing 1
novel 1
now 1
obtain 2
of 25
on 2
one 3
originally 1
osborne 2
other 2
ottoman 1
ousts 1
out 3
owner 2
paul 1
penny 1
phn 1
plans 2
plaza 1
plkane 1
poland 1
pole 1
polish 2
politics 1
poverty 1
power 1
powerful 1
predecessor 1
pretext 1
profitmaking 1
protests 1
prove 1
provision 1
punishment 1
raised 1
raped 1
realises 1
reconciles 1
remaining 1
remorse 1
rescued 1
returns 1
revenge 1
richard 5
richmond 3
rival 1
rivalry 1
rosnovski 4
ruin 1
russian 1
s 1
same 1
save 1
school 1
see 1
share 1
shares 2
she 1
siberia 1
silver 2
sister 2
situation 1
so 1
soldier 1
soldiers 1
son 4
soninlaw 1
soon 2
speculation 1
spends 2
st 1
staff 1
start 1
starts 1
states 1
stealing 1
steps 1
stevens 1
still 1
stock 2
stores 1
stories 1
succeed 1
successful 2
suicide 2
summon 1
support 1
taking 1
tells 1
that 7
the 39
their 3
them 2
then 2
there 2
they 4
this 1
throughout 1
throws 1
thus 1
thwart 1
time 2
times 1
titanic 1
to 34
too 1
transfer 1
trapper 1
tries 1
turkey 2
turns 1
two 2
unable 1
unaware 1
united 1
university 1
unknowingly 1
up 2
vehement 1
vihai 1
waiter 1
war 3
was 6
wealthy 1
when 4
where 2
which 1
while 5
who 3
whom 1
william 10
wish 1
with 4
without 1
wladek 7
women 1
work 1
working 1
world 2
worlds 1
would 1
young 2
zaphia 2
zeal 1
zh 1
