22718116
/m/05zksfm
/m/05zksfm
Hilary McKay

6 1
a 8
about 1
according 1
across 1
admired 1
adopted 1
after 7
again 2
age 1
ago 1
agree 1
all 3
also 1
an 1
and 36
angel 8
another 2
anymore 1
are 1
around 1
arrive 2
arrived 1
art 1
at 1
away 1
back 5
banana 1
barbed 1
beat 2
because 1
becomes 1
been 1
before 2
begins 3
being 1
believes 1
belongs 1
bill 4
books 1
bottoms 1
box 2
brainwave 1
brother 1
but 2
by 5
caddy 17
cadmium 1
call 1
cant 1
car 5
casson 1
casualty 1
characters 1
chart 1
checking 1
chest 1
children 1
climb 1
colour 1
comforted 1
conquering 1
crash 1
day 1
decide 1
deeply 1
delighted 1
despite 1
dies 1
disappointed 2
disastrous 1
discover 1
discovers 1
doing 1
done 1
door 1
down 1
draw 1
draws 1
drive 1
driving 8
during 1
each 1
eve 2
everything 1
everywhere 1
exams 2
explained 1
failing 1
family 6
fast 1
father 2
fears 1
find 7
finds 5
first 1
for 7
forced 1
forgotten 1
forwards 1
found 2
friends 1
from 1
game 1
garden 1
get 1
girlfriend 2
girls 1
go 3
goes 2
going 1
grandfather 3
has 6
have 4
having 1
he 2
headmistress 1
heads 2
health 4
her 25
him 2
his 5
holds 1
home 4
house 6
however 2
idea 1
identical 1
in 13
indigo 9
instead 1
instructor 2
into 2
introduced 1
is 17
italians 1
keep 1
killed 1
large 1
last 1
late 1
leaves 2
lesson 2
lessons 1
lets 1
like 1
locked 1
london 2
long 1
look 1
looking 1
lots 2
madeup 1
make 1
makes 1
marking 1
meanwhile 2
meet 1
meets 2
michael 3
money 1
more 1
mother 6
mrs 2
nailed 1
name 1
neighbour 2
nervous 1
new 1
no 1
nose 1
noses 1
novel 1
of 10
off 2
old 1
on 5
one 3
opens 1
order 1
out 6
over 1
paint 2
passed 1
passes 1
passing 1
pastes 1
perfect 1
perfects 1
persuade 1
persuades 3
picture 2
pieces 1
pierced 1
pinned 1
place 1
plan 1
plastered 1
private 1
property 1
read 1
resin 1
rest 1
return 1
revise 1
revising 1
revision 1
right 1
ring 1
rose 12
round 1
rude 1
running 1
saffron 22
saffy 6
sarah 15
scatters 1
school 2
searches 1
searching 1
set 1
she 5
shut 1
siena 6
sign 1
signs 1
sister 2
sisters 1
smuggle 1
some 1
something 1
soon 2
starts 2
steal 1
stick 1
still 1
stone 4
story 1
sucking 1
take 2
takes 1
talented 1
talks 1
teacher 1
tells 2
ten 1
term 1
test 3
that 3
the 34
their 3
them 1
then 1
there 3
they 8
threatens 1
threequarters 1
through 1
tightly 1
to 35
together 2
too 1
took 2
town 1
trouble 1
trust 1
try 1
tubes 1
two 1
university 1
until 1
up 7
upset 2
very 3
visiting 1
visitor 4
visits 2
wales 3
wall 2
wants 1
warbeck 2
was 1
way 2
when 5
where 1
which 1
while 2
who 2
will 1
wire 1
with 6
wrecked 1
written 1
year 1
years 1
