4791414
/m/0cnhlb
/m/0cnhlb
Eric Walters
2006-03
{"/m/03mfnf": "Young adult literature"}
85th 1
a 13
across 2
admits 1
after 3
afterwards 2
again 2
agree 1
ahead 1
airplane 1
alone 1
also 1
alternate 1
although 1
ambulances 1
an 6
and 23
announcement 2
another 2
anyways 1
are 1
argument 1
arm 1
around 1
arrive 1
arriving 1
as 13
aside 1
ask 1
assessment 1
at 8
attempt 1
await 1
away 2
back 3
backs 1
balance 1
be 4
become 2
becomes 1
becoming 1
been 2
before 1
begin 2
being 1
believes 1
beneath 1
bennett 1
best 1
between 1
blocked 1
blow 1
blown 1
blows 1
both 1
building 8
business 1
but 2
by 6
can 1
car 1
carries 1
carry 2
carrying 1
case 5
center 1
centre 1
class 3
closer 1
collapsed 3
colleague 1
come 2
comes 1
commuting 1
confirms 1
continue 1
crash 2
dad 10
danger 1
day 2
decides 2
deck 1
descend 1
descent 1
describes 1
despite 2
did 1
difficult 1
distance 1
distant 1
do 1
does 1
down 10
dreading 1
due 1
early 1
employees 1
end 1
ends 1
english 1
enough 1
evacuate 4
eventually 4
ever 1
every 1
everyone 1
explaining 1
explains 1
extremely 2
fact 1
failing 1
farther 1
father 4
feet 1
few 1
figure 2
finally 1
find 1
finds 2
fire 3
firefighter 1
firefighters 1
first 3
floor 5
for 3
force 1
frantically 1
freeing 1
friend 1
friends 1
from 3
fuller 2
gave 1
gives 1
go 3
goes 1
going 1
grade 1
group 1
groups 1
had 1
happen 1
happened 1
has 4
have 1
he 16
head 1
heading 2
heated 1
hell 1
her 5
him 4
himself 1
his 21
history 1
hit 3
holds 1
home 3
hot 1
how 1
however 1
in 9
injured 1
injuries 1
injuring 1
instead 2
instructs 1
intact 1
introduced 1
is 17
it 9
james 4
job 1
john 16
journey 1
just 1
later 1
learns 1
leave 4
leaves 2
left 1
level 1
levels 1
little 1
lobby 1
look 1
looked 1
loud 2
make 2
making 1
managers 1
may 1
meet 1
more 1
morning 1
mother 1
must 2
my 1
named 1
near 1
necessary 1
never 1
next 1
nine 1
noise 2
north 1
not 4
now 1
observation 1
of 19
offers 1
office 8
officer 3
offices 3
on 5
once 1
one 3
only 1
onto 1
orders 1
other 1
otherwise 1
out 1
outside 2
overwhelmed 1
own 1
paramedics 3
people 1
phil 1
place 1
plane 2
police 2
put 1
reach 2
realize 1
realizes 1
realizing 2
red 1
refuses 1
regain 1
reluctant 2
remembering 1
rendezvous 1
rescue 1
resembling 1
return 1
returning 1
returns 2
reuniting 1
risk 1
rocks 2
room 1
running 1
runs 2
safety 1
same 1
says 1
scared 1
seat 1
secretary 1
see 1
sees 1
separated 1
she 1
should 2
sight 1
since 1
single 1
sit 1
site 1
so 1
soaks 1
some 1
son 1
south 3
speaks 1
spend 2
stair 4
staircase 1
stairs 1
states 1
stating 1
station 1
stay 1
stepped 1
still 3
stopped 2
stories 3
story 1
streets 1
struggling 1
student 1
subway 1
sudden 3
suddenly 4
surprise 2
suzie 1
take 2
taken 1
tell 1
tells 1
that 14
the 65
their 8
them 7
there 1
they 19
theyll 1
this 1
through 1
tie 1
time 2
ting 7
tired 1
to 38
tomorrow 2
toward 1
towards 2
tower 9
trade 2
trapped 1
turns 1
unsure 1
up 2
upon 2
use 3
very 1
via 1
visit 1
want 1
wanting 1
wants 1
warden 1
way 1
we 1
when 4
where 5
which 2
while 2
whistle 3
who 2
will 20
with 12
woman 2
work 2
workers 1
world 2
