305160
/m/01sdtw
/m/01sdtw
Tom Clancy
1998-08
a 16
able 1
about 3
access 1
activity 1
after 2
afterward 1
agency 1
air 1
alistair 1
ambush 2
an 3
and 20
appalled 1
apparatus 1
are 1
army 1
as 4
assistance 1
at 2
attack 4
attacks 3
australia 1
austria 1
austrian 1
bank 2
base 2
based 1
be 2
become 1
becomes 1
bern 1
biotechnology 1
bioweapon 1
both 1
brazilian 2
breach 1
businessman 1
by 2
called 1
capturing 1
careful 1
carlos 1
central 1
ceo 1
charged 1
chavez 6
children 1
civilian 1
clark 7
codes 1
cohesive 1
colleagues 1
commanding 1
compound 1
consists 1
consultant 1
contacts 1
continues 1
contract 1
corporation 3
counterterrorist 1
critical 1
deal 1
deep 1
defeats 1
demanding 1
deployed 2
deploys 2
desperate 1
destroyed 1
destroys 1
determined 1
die 1
dimitriy 1
directs 1
disguised 2
domingo 1
down 1
due 1
during 2
dutch 1
early 1
ecoterrorists 3
effective 1
eliminate 1
elite 1
employees 1
england 1
ernst 1
erwin 1
escapes 1
establishment 1
even 1
eventually 1
exchange 1
execution 1
exkgb 1
experts 1
facility 1
firm 2
flurry 1
focus 1
foment 1
for 3
force 1
forest 1
forming 1
fortunately 1
from 5
further 2
games 1
german 1
getaway 1
girl 1
government 1
group 1
has 1
have 3
having 1
helicopter 2
help 1
helps 1
hereford 2
hidden 1
hideout 1
highly 1
hired 1
his 3
hoping 1
horizon 3
hospital 2
hostage 3
hostages 2
human 1
ill 1
imaginary 1
in 14
incidents 1
increase 1
innocent 1
instigating 1
intelligence 2
intended 1
international 1
interrogation 1
involved 1
involvement 1
irish 1
is 8
its 1
jackal 1
john 1
join 1
kansas 1
kept 1
kill 3
knowing 1
known 1
land 1
later 1
launch 1
leading 1
leads 1
learning 2
led 1
left 1
leftwing 1
legitimate 1
life 1
lives 1
local 1
location 1
long 1
loss 2
majority 1
make 1
manage 1
manages 1
manhunt 1
markets 1
may 1
members 1
militia 1
model 1
more 1
multinational 1
naked 1
nature 1
near 1
negotiate 1
negotiating 1
never 1
neverrevealed 1
no 1
not 2
now 1
obtain 1
of 21
officer 3
older 1
olympic 3
olympics 1
on 2
one 3
operation 1
operational 1
operatives 1
orchestrated 1
order 1
ostermann 1
other 1
out 2
over 3
pair 1
park 1
persuaded 1
pharmaceutical 1
plan 1
planned 1
planning 1
plans 1
plot 1
policemen 1
popov 6
present 1
presumably 1
prevent 1
previous 1
provisional 1
put 1
race 1
radical 1
rain 1
rainbow 12
reconnect 1
refuge 1
release 1
republican 1
resolve 1
retake 1
retreat 1
return 1
reveals 1
role 1
sas 3
scene 1
schloss 1
scope 1
secret 1
security 3
seek 1
service 1
several 1
shooters 1
show 1
site 1
situation 1
size 1
some 1
soon 1
sophisticated 1
spanish 1
special 2
squads 5
standoff 1
stanley 1
states 1
stripped 1
successfully 1
supplemented 1
supplies 1
survivors 1
suspicious 1
swiss 1
switzerland 1
sydney 1
take 4
taken 2
taunting 1
team2 1
technological 1
terminally 1
terror 1
terrorist 1
terrorists 9
that 1
the 54
their 8
them 3
theme 1
they 3
thirtyfive 1
this 1
through 1
thwart 1
to 27
tracks 1
trading 1
trial 1
two 1
unable 1
unbeknownst 1
unit 2
united 1
upon 2
waiting 1
wanted 1
way 1
wealthy 1
weeks 1
where 1
while 1
wipe 1
with 2
within 1
without 2
wives 1
