24322624
/m/07sc7fq
/m/07sc7fq
Pramoedya Ananta Toer
1980
{"/m/0hwxm": "Historical novel"}
a 4
accompany 1
after 6
ah 1
ailing 1
an 1
and 7
annelies 2
are 1
argue 1
arriving 1
article 1
as 4
at 1
attempts 1
away 1
back 1
be 3
being 3
beliefs 1
between 1
by 6
care 1
challenged 1
changes 1
chinese 3
completely 1
continue 1
continues 2
crew 1
curious 1
darman 1
decides 1
departed 1
deteriorating 1
discover 1
discovers 2
doing 1
down 1
dutch 1
earth 1
encounter 1
experience 1
feels 2
field 1
first 1
for 1
friend 1
from 2
generally 1
generation 1
good 1
grounds 1
has 1
having 1
he 5
helping 1
her 2
his 8
however 1
hurt 1
ignored 1
in 7
influential 1
information 1
interview 1
is 1
it 1
javanese 1
jean 1
khouw 1
kommer 2
laid 1
later 1
leaves 1
letters 1
life 1
maarten 1
malay 1
mankind 1
marais 1
member 1
minke 5
multiple 1
nation 1
netherlands 2
nieuws 1
nijman 3
nyai 1
occupying 1
of 6
off 1
offer 1
old 1
on 5
only 2
opinion 1
opposing 1
oppression 1
or 1
over 1
overcome 1
panji 3
part 1
passes 1
people 2
point 1
position 2
promised 1
proud 1
quickly 1
quite 1
radical 1
rapidly 1
really 1
recording 1
recruited 1
refuses 1
refutable 1
region 1
relays 1
replaced 1
rising 1
room 1
secretly 1
selfreport 1
severely 1
she 1
ship 3
shortly 1
sidoarjo 1
so 1
soe 3
soerabaiaasch 1
soon 1
story 1
struggle 1
take 1
taking 1
tarnish 1
that 2
the 15
their 2
they 1
this 3
through 1
to 11
tow 1
traditions 1
troublemaker 1
unfortunately 1
unique 1
up 1
visit 1
was 1
watch 1
well 2
where 2
who 1
with 2
woman 1
would 2
write 1
writing 1
wrote 1
young 2
