1838030
/m/05_wrx
/m/05_wrx
Wendy Wasserstein

160s 1
170s 1
180s 1
a 4
affairs 1
and 4
ardent 1
are 2
arguably 1
art 1
as 1
best 1
betrayal 1
both 1
career 1
changing 1
characters 2
deal 1
describing 1
during 3
editor 1
eventual 1
feminism 1
follows 1
friend 1
friendship 1
from 1
gay 1
has 2
heidi 4
her 2
high 1
historian 1
holland 1
important 1
in 1
is 1
later 1
magazine 1
main 1
male 1
many 1
marries 1
more 1
most 1
of 3
patrone 1
pediatrician 1
period 1
peter 1
play 1
plot 1
role 1
rosenbaum 1
school 1
scoop 1
sense 1
successful 1
tense 1
than 1
the 7
themes 1
there 1
this 1
though 1
time 1
to 1
twenty 1
two 1
who 2
whom 1
with 2
women 2
years 1
