2679072
/m/07xfj0
/m/07xfj0
Herman Wouk

{"/m/02xlf": "Fiction"}
130s 1
15 1
3 1
a 28
aboard 1
accepts 1
accompany 1
actress 3
actually 1
adult 1
after 1
again 1
airman 1
alternative 1
an 9
and 24
another 1
artistic 1
arts 1
as 13
aspirations 1
at 3
bacon 1
be 2
beautiful 1
become 2
becoming 1
before 1
begin 1
begins 2
best 2
birth 1
blaming 1
book 2
boyfriends 1
bright 1
brighter 1
brighteyed 1
bronx 1
businessman 1
but 2
by 1
camp 1
can 1
career 1
cares 1
change 1
changed 1
class 1
college 1
company 1
compose 1
composer 1
concludes 1
contemporary 1
convinced 1
counselor 1
course 1
crafts 1
dance 1
decides 1
describe 1
determinedly 1
determines 1
diary 1
disappointing 1
do 1
does 1
dramatic 1
dreams 2
during 1
eat 1
editing 1
else 1
embarking 1
en 1
encourages 1
end 2
engage 1
enjoys 1
enrolled 1
entered 1
entertainers 1
entry 1
epilogue 1
era 1
escape 1
ethnically 1
exclusive 1
excursion 1
expectations 1
fall 1
fame 1
family 2
father 1
feminist 1
finds 1
fitting 1
flees 1
for 5
form 1
four 1
france 1
free 1
friend 1
from 2
future 1
gain 1
girl 3
good 1
happily 1
happy 2
has 6
having 2
he 15
help 1
helps 2
her 35
him 5
his 5
hope 1
hopes 2
how 2
however 2
hungry 1
hunter 1
hurt 1
husband 1
idealistic 1
idolized 1
idolizes 1
illicit 1
in 17
infatuation 1
intelligent 1
interest 1
into 1
introduces 1
is 12
it 1
jewish 5
job 2
jobs 2
knew 1
lands 1
languages 1
life 3
locate 1
longer 1
lots 1
love 1
make 1
man 5
manhattan 1
marjorie 20
marries 2
marry 5
marrying 1
marsha 4
marvels 1
mary 1
match 1
meets 3
middle 1
mikado 1
misogynistic 1
mocks 1
more 1
morgenstern 1
morningstar 1
mosaic 1
most 1
mother 3
motivating 1
moved 1
movement 1
mysterious 1
name 2
narrow 1
neighborhood 3
neither 1
new 4
next 1
no 2
noel 13
nor 1
not 7
notice 1
novel 4
observances 1
of 15
offers 1
older 1
on 3
once 2
only 1
or 2
ordinary 1
origins 1
over 1
panic 1
parents 1
paris 3
persuade 1
persuades 1
philosophy 2
playwright 1
poorer 1
popular 1
possible 1
premarital 1
production 1
professional 3
prosperous 1
pursue 1
pursues 1
queen 1
quest 1
quickly 1
quits 1
rather 1
readers 1
reading 1
realized 1
realizes 1
recalls 1
recently 1
relationship 2
religious 2
resort 1
respectfully 1
return 2
returns 1
role 2
route 1
saul 1
saying 1
school 2
see 1
seems 1
settled 1
several 1
sex 1
sexual 1
she 14
shirley 2
side 1
sing 1
some 3
someone 1
somewhat 1
source 1
south 1
speak 1
speaks 1
spends 1
spoiled 1
stable 3
staff 1
stage 1
statements 1
study 1
studying 1
suburban 1
succeed 3
success 1
such 1
suit 1
summer 2
take 2
takes 1
taunts 1
teaches 1
tells 5
than 1
that 15
the 29
theater 1
then 1
there 1
they 1
this 1
though 1
time 1
title 1
to 25
traditions 1
treats 1
typical 1
ultimately 2
unhappiness 1
unwillingness 2
up 1
upper 1
us 1
using 1
very 1
wait 1
wally 4
want 2
way 1
wealthier 1
well 2
wellbrought 1
west 1
when 1
where 1
whether 1
while 2
who 6
wife 2
will 11
wind 1
with 10
woman 1
won 1
working 1
would 2
writer 1
writing 2
wronken 2
year 2
years 2
york 4
young 2
younger 1
zelenko 1
