9837010
/m/02ptjky
/m/02ptjky
James Barclay
2005-10-20
140 1
a 6
abilities 6
ability 2
able 5
about 1
above 1
acquired 1
action 1
active 1
adolescence 1
advocate 1
affect 1
affront 1
afraid 1
aglios 1
alive 1
all 6
allies 1
ally 1
almost 1
also 1
an 4
and 31
annexing 1
appeared 1
ardol 1
arducious 1
are 4
armies 2
around 2
arvan 1
as 7
ascendant 1
ascendants 14
assault 1
at 2
atreska 3
aware 2
awareness 1
away 1
babies 1
be 5
because 3
been 2
before 1
begin 1
begins 1
being 3
believes 1
bit 1
border 1
breaks 1
breathe 2
breed 1
but 2
by 6
can 1
capital 1
caraduk 1
causes 3
causing 1
centers 1
centre 1
certain 1
change 1
character 1
childhood 1
citizens 1
completely 1
confidence 1
conqourd 1
conquered 1
conquord 12
consequence 1
considered 1
continue 2
convinced 1
country 1
create 1
created 1
cry 1
danger 1
defender 3
del 1
destroy 1
destroyed 1
develop 2
developed 1
develops 1
differs 1
disappear 1
does 1
due 1
during 2
early 1
embodiment 1
empire 2
employed 1
enemies 1
entire 1
essentially 1
estorea 1
estorr 1
eventually 3
every 1
everyday 1
evidence 1
example 3
exception 1
exchequer 1
existed 1
existence 5
exists 1
expanded 2
expanding 1
expelled 1
experimental 1
facing 1
fact 2
family 1
far 1
firewalker 1
for 6
form 1
four 3
from 6
future 2
generations 1
god 2
gorian 7
greatly 2
grow 1
had 1
halt 1
has 2
have 1
having 1
he 3
heat 2
her 1
herine 1
him 1
his 1
however 3
impervious 1
in 16
inflated 1
instead 1
into 4
is 13
it 1
its 3
itself 2
jhered 1
kept 1
kessian 1
kingdom 1
knowledge 2
largely 1
later 1
levels 1
life 1
limited 1
line 1
lives 1
living 1
made 1
magic 6
main 1
making 1
manipulate 3
manipulating 1
manipulations 1
many 1
marshal 3
megalomania 1
member 1
minus 1
mirron 3
more 1
most 2
moving 1
must 1
nature 4
navy 1
new 2
newborn 2
newly 1
no 1
nobody 1
normal 2
not 2
notable 1
notably 1
of 41
old 1
omniscient 3
omniscientalso 1
on 1
only 2
or 1
order 3
original 3
originally 1
ossacer 1
others 1
out 1
outside 2
part 2
passive 1
paul 1
people 3
persecuted 1
persecution 1
person 1
phenomenal 1
place 1
places 1
play 1
postulated 1
powerful 1
powers 1
practitioners 1
predict 1
predicted 1
problem 1
project 1
rape 1
reasons 1
rebellion 1
recorded 1
referred 1
relationships 1
religion 1
representative 1
resisted 1
resources 1
rest 1
retaliated 1
same 1
save 1
scope 1
secrecy 1
secret 1
seem 1
selfimportance 1
sense 1
show 1
shrouded 1
signs 1
some 2
states 1
still 1
story 2
successors 1
such 1
taking 1
that 2
the 80
their 12
them 3
there 1
therefore 1
these 1
they 3
thin 1
this 6
thought 1
throughout 1
time 6
times 1
to 27
together 1
town 6
townspeople 1
traits 1
tsard 5
turning 1
tutorage 1
underestimated 1
underwater 2
unforeseen 1
unfortunate 1
unique 2
unprecedented 1
unrest 1
until 1
up 2
using 1
variants 1
vasselis 4
view 1
was 6
weather 2
were 2
westfallen 5
what 2
where 2
which 3
while 1
whilst 1
who 4
whom 1
will 2
with 2
withstand 1
world 1
worshipped 1
would 3
writing 1
years 1
