33868418
/m/0hn8frs
/m/0hn8frs
Camilla Läckberg
2006
a 12
accident 1
accidents 1
alcohol 1
alcoholfuelled 1
also 1
an 1
and 4
anna 1
apparently 1
are 4
arrange 1
as 1
assassin 1
assumption 1
becomes 1
breaking 1
cameras 1
car 2
cases 1
chaotic 1
child 1
clear 1
closely 1
contend 1
contestant 1
crash 1
dead 1
death 1
different 1
disparate 1
drink 1
drive 1
emerges 1
ends 1
ephemera 1
erica 1
ericas 1
every 1
evidence 1
experiencing 1
first 1
found 1
had 1
has 1
have 1
he 1
headlong 1
hes 1
his 1
homicides 2
in 4
inexplicable 1
into 1
is 3
it 2
linked 2
locals 1
many 1
matrimony 1
more 1
move 1
moving 1
of 8
officer 1
on 1
over 1
own 1
pair 1
party 1
patrick 1
patrik 1
pattern 1
piece 1
point 1
police 1
problems 1
realises 1
realisespatrick 1
reality 1
reconnected 1
reeks 1
regions 1
relations 1
reveals 1
seemingly 2
serial 1
shadow 1
show 1
sidelined 1
similar 1
sister 1
slowly 1
spate 1
spread 1
stars 1
strained 1
stress 1
sweden 1
tanumshede 1
than 1
that 3
the 8
there 1
these 1
to 3
tv 1
unpopular 1
vicinity 1
victim 1
wedding 1
when 1
with 3
woman 1
writer 1
years 1
