11605196
/m/02rl7s2
/m/02rl7s2
Brian Keene
2005
180 1
a 20
abandoned 2
able 1
accident 1
accomplished 1
across 3
act 1
afterlife 1
alerts 1
alive 2
all 4
almost 2
alone 1
also 2
an 2
and 27
animal 1
another 1
apart 1
approaching 1
are 7
arm 2
armories 1
army 1
around 1
artillery 1
as 13
asia 1
assimilation 1
attack 1
attic 1
auras 1
away 1
back 2
badly 2
baker 1
be 2
been 3
before 1
begin 1
begins 1
below 1
between 1
birds 1
biting 1
blow 1
body 2
book 1
books 1
breach 1
building 1
but 2
by 7
can 1
car 3
characters 1
coming 1
company 1
complex 1
confronts 1
consciousness 1
converge 1
country 1
crocodile 1
danny 6
dead 1
degrees 1
device 1
died 1
discovers 1
distracting 1
distressed 1
divulges 1
don 2
dream 1
each 1
eaten 1
eliminated 1
eliminating 1
ending 1
eradicate 1
escape 2
escaping 2
europe 1
eventually 1
everyone 1
explorer 1
fall 2
falling 1
fantasize 1
few 1
fighting 1
final 1
find 1
finds 1
fire 1
first 2
flame 1
followed 1
for 4
force 1
forces 3
ford 1
frankie 9
from 7
front 1
full 1
garage 1
gas 1
glad 1
god 1
goes 1
great 1
group 1
groups 1
guard 1
guardsmen 1
gunshot 1
had 2
happy 1
has 5
have 1
having 1
he 9
head 2
heart 1
heavy 1
helicopter 1
hellertown 2
help 1
her 3
here 1
hiding 2
him 3
his 14
holed 1
host 2
hot 1
house 2
houses 1
however 2
human 2
humans 2
humvee 2
hurt 1
i 1
impenetrable 1
in 18
including 1
incredible 1
injured 1
insects 1
instructing 1
into 4
is 13
it 3
jim 16
join 1
journey 1
just 1
keys 1
killed 3
killing 2
kills 3
knowledge 2
ladder 1
last 1
laying 1
lays 1
leads 1
learns 1
leave 1
left 1
legless 1
life 3
like 1
line 1
lived 1
living 2
location 1
looks 1
loses 1
make 2
makes 1
making 1
martin 5
masturbating 1
meanwhile 1
meet 1
merely 1
minions 2
more 1
motor 1
my 1
national 1
neighbor 1
new 1
no 1
nypd 1
ob 9
obots 1
of 9
old 1
on 2
once 1
one 4
only 1
opens 1
ordeal 1
other 1
others 1
out 1
panic 1
parking 1
party 1
personally 1
plan 2
plans 1
plants 1
pool 2
powerful 1
presence 1
proclaiming 1
pull 1
punctuating 1
purpose 1
pursuit 1
races 2
ramsey 2
rats 2
reanimates 2
regains 1
regroup 1
remaining 2
rescue 2
rest 1
reunited 1
revealed 1
rig 1
rock 1
roof 1
room 1
run 1
secret 1
see 2
sends 1
set 2
several 1
sewers 1
shape 1
she 1
shock 1
short 1
shot 1
shows 2
siege 1
simultaneously 1
sissquim 1
sleep 1
slit 1
smashes 1
some 2
sometime 1
son 1
sonic 1
soon 2
sort 1
spirit 1
storm 1
story 1
structure 2
supposedly 1
surrounding 1
surviving 1
swimming 1
take 1
taken 1
talks 1
task 1
telling 1
that 8
the 56
their 3
them 3
then 3
there 2
they 7
this 1
three 1
throat 1
thrower 1
thrown 1
times 1
to 16
told 1
towers 3
trapped 1
trying 1
turned 1
two 2
undead 1
up 3
upon 1
use 1
uses 2
using 2
vehicles 1
very 1
violently 1
wave 1
way 1
well 2
were 1
what 1
which 1
while 1
who 2
with 4
words 1
would 2
wound 1
wreckage 1
yard 1
you 1
zombie 7
zombies 9
