3974913
/m/0b9jmw
/m/0b9jmw
Joseph Krumgold
1959
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 1
after 1
almost 1
alone 1
and 3
andy 3
appliances 1
are 1
away 2
bathtub 1
build 1
club 1
committees 1
complete 1
created 1
decides 1
destroys 1
determined 1
electricity 1
ensuing 1
father 1
fire 1
for 2
from 1
fumigate 1
get 1
goes 1
he 2
him 2
his 1
home 1
house 3
however 1
hut 1
immediately 1
in 2
is 1
john 6
leave 1
leaves 1
life 1
modern 2
moving 1
mr 1
never 1
new 2
newspaper 1
noticing 1
of 2
old 1
on 3
one 1
onion 3
only 1
people 1
rebuild 1
rotary 1
run 2
running 1
rusch 1
serenity 1
should 1
signs 1
site 1
stone 1
stove 2
suggests 1
surroundings 1
that 2
the 10
to 8
town 3
turns 1
uncomfortable 1
unhappy 1
unused 1
up 1
upsidedown 1
wants 2
was 1
water 1
when 1
whole 2
with 2
