5028208
/m/0c_jg8
/m/0c_jg8
Joe Dever
1997
a 2
accidentally 1
allies 1
ancient 1
and 4
at 1
attempt 1
beast 1
been 1
below 1
bor 1
bounds 1
centuries 1
command 1
deep 1
destroy 1
drodarin 1
dwarves 2
enacts 1
for 2
forgotten 1
free 1
from 1
granite 1
has 2
horde 1
hunger 1
in 1
incarcerated 1
its 3
journey 1
king 1
kingdom 1
knows 1
lain 1
located 1
minions 1
mountains 1
must 1
no 1
now 1
of 5
plan 1
prison 1
realm 1
ryvin 1
save 1
set 1
shomzaa 3
sinister 1
subterranean 1
swiftly 1
terrifying 1
the 9
this 1
to 3
vengeance 1
vile 1
with 1
wondrous 1
wrath 1
you 1
your 1
