5750501
/m/0f2p5p
/m/0f2p5p
Walter R. Brooks

{"/m/0dwly": "Children's literature"}
a 10
acerbic 1
adventures 1
after 2
again 1
all 1
alligators 2
also 2
an 4
and 8
animals 9
area 1
arrived 1
as 1
at 4
avoid 1
back 2
bean 3
because 1
before 1
black 1
boy 3
but 1
by 4
capture 2
carriage 1
carry 1
charles 2
city 1
cold 1
couldnt 1
cow 1
danced 1
days 1
dc 1
decided 1
disguising 1
dog 1
empty 1
encounter 1
end 1
escaped 1
farm 5
few 1
first 1
flock 1
florida 3
forced 1
found 1
freddy 1
from 2
further 1
get 2
gold 5
got 2
group 1
hank 1
he 1
henrietta 2
his 1
horse 1
house 1
how 1
in 5
included 1
intelligent 1
is 1
island 1
it 3
jack 1
joined 2
joining 1
kidnappers 1
last 1
later 2
lived 1
log 1
long 1
made 1
man 4
meeting 1
men 1
mention 1
merrily 1
met 1
mr 1
mrs 2
new 1
next 1
northward 1
of 6
off 1
old 2
on 4
once 1
one 1
only 1
passed 1
past 1
pig 1
pile 2
pleased 1
prevented 1
property 1
refuge 1
results 1
returning 1
rooster 1
same 1
scared 1
senators 2
showed 1
some 2
speech 1
started 1
steal 1
stolen 1
swallows 1
swamp 1
take 2
taking 2
that 1
the 34
their 2
them 6
themselves 1
they 8
three 1
through 1
thunderstorm 1
time 1
to 12
took 1
tour 2
towards 1
townspeople 1
trapped 1
trek 1
tried 2
two 2
unable 1
upstate 1
vacation 1
visit 1
walking 1
was 2
washington 1
were 2
where 1
while 1
who 3
wife 1
wiggins 1
winter 1
wished 1
with 3
york 1
