1345217
/m/04vfr0
/m/04vfr0
Clive Barker
1990-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
16 1
171 1
a 14
able 7
active 1
actually 2
after 3
again 1
agent 1
agrees 1
align 1
all 1
amass 2
amassed 1
an 5
and 38
another 2
ape 1
are 8
army 3
arrive 3
arrives 3
arriving 1
art 2
as 10
asks 1
at 1
atomic 1
attack 1
attempt 1
authorities 1
away 2
baby 1
back 1
bargain 1
battle 3
be 3
been 1
before 2
beside 1
birth 3
body 9
bomb 1
both 2
breaks 1
brings 1
brought 1
buddy 1
but 5
by 6
california 1
called 1
captures 1
cave 1
child 1
claims 1
clerk 1
close 1
collapse 1
comedian 1
completely 1
consciousness 2
contain 1
continue 1
control 1
convince 2
convincing 1
cosm 1
could 1
create 1
created 2
creatures 2
crossing 1
damour 1
dead 3
deal 1
death 4
dedicated 1
destroyed 1
destroying 1
destroys 1
detonated 1
die 1
discovers 1
disgruntled 1
disintegrates 1
distract 1
dominated 1
dragged 1
dream 2
dreamers 1
each 1
earth 2
eighteen 1
enable 2
encountered 1
encounters 5
enough 1
enter 1
entire 1
ephemeris 3
escape 2
essence 1
eventually 1
ever 2
evil 2
evolve 1
evolved 1
exactly 1
excrement 1
experience 1
explains 3
exposed 1
fails 1
fall 1
father 1
find 2
finds 1
first 3
flee 1
flees 1
fletcher 9
float 1
for 7
form 1
former 2
four 1
fourth 1
friend 1
from 4
gain 1
gets 1
ghost 1
girls 2
give 1
gives 1
giving 1
great 1
grillo 3
grove 6
had 2
hallucigenia 3
harry 1
has 3
having 2
he 4
heads 2
help 1
her 4
heritage 1
herself 1
him 8
himself 1
hints 1
his 16
hole 1
house 2
howard 11
however 3
human 2
iad 5
immolation 1
impregnate 1
in 15
including 1
infecting 1
infertile 1
inhabit 1
instead 2
into 4
investigator 1
is 17
islands 2
it 5
jaffe 14
jobeth 6
joyce 1
just 1
katz 1
keeping 1
kill 2
killed 1
kills 2
kissoon 13
known 5
laboratory 2
lake 1
last 3
later 1
learns 1
leaves 1
leaving 1
letter 1
liquid 1
live 1
lix 1
loop 5
love 2
magic 1
managed 1
manages 2
many 1
mary 1
mcguire 1
meanwhile 1
meet 1
meeting 1
meets 1
megalomaniac 1
metacosm 1
mexico 2
mind 1
minds 1
mother 2
moves 1
much 1
muralles 2
murdered 1
mysterious 2
mystical 1
named 3
nebraska 1
new 2
not 1
now 1
nuncio 7
occupied 1
occupying 1
of 22
off 1
office 1
offspring 1
on 3
once 1
one 2
only 2
opposite 1
order 2
ordinary 1
ostensibly 1
other 1
others 1
our 1
out 1
outside 1
over 2
own 1
palomo 6
part 1
pass 1
passes 1
people 3
person 1
physically 1
place 1
postal 1
power 2
practicing 1
produced 1
pure 1
quiddity 15
race 1
randolph 1
rape 1
raul 6
ray 10
reach 2
realising 1
reality 1
realizes 1
recalls 1
recover 1
refuses 1
remaining 1
remains 2
remnants 1
report 1
reporter 1
returns 1
reunited 1
reveals 1
scientist 1
sea 2
sealed 1
search 1
second 1
secret 1
seems 1
semen 1
sent 1
she 1
shoal 4
shoots 1
show 1
side 2
simply 1
sleep 3
snakelike 1
society 1
son 1
spirits 1
spreading 1
starts 1
state 1
still 1
story 1
summon 1
supernatural 1
take 2
teams 1
tear 1
teenage 1
telling 1
tells 1
terata 2
tesla 15
that 10
the 66
their 4
them 3
then 1
theoretically 1
there 2
they 3
third 1
this 1
thoughts 1
three 1
through 4
time 9
times 1
to 50
tommy 10
too 1
towards 1
town 2
transformed 1
transforms 1
transports 1
travels 1
tries 2
trinity 2
trudi 1
truly 1
try 1
turns 1
tv 1
twins 1
two 1
unable 1
up 2
uroboros 5
use 1
using 2
vaguely 1
vance 5
vial 1
visible 1
visit 1
vortex 4
vulnerable 1
was 3
we 5
well 1
were 2
what 1
when 3
where 5
which 2
while 6
who 11
will 2
wishes 1
with 6
within 1
woman 1
womb 1
word 1
working 1
worshippers 1
would 1
year 1
years 1
