27387713
/m/0by1h96
/m/0by1h96
Fuyumi Ono
1994-06
a 1
abandoned 2
abandonment 1
after 3
also 1
an 1
arent 1
at 1
beasts 1
bind 1
birth 1
boy 1
boys 1
but 1
by 3
circumstances 1
consequences 1
demon 1
destinies 1
disastrous 1
eggfruit 1
en 3
fend 1
for 3
happened 1
he 2
himself 1
his 3
in 2
intersect 1
it 1
japan 1
just 1
kingdom 3
kirin 1
koya 1
left 1
mountains 1
named 1
of 1
only 2
own 2
parents 2
potentially 1
protection 1
raised 1
rokuta 1
same 1
similar 1
so 1
soon 1
surrogate 1
that 1
the 7
their 3
these 1
thing 1
though 1
time 1
to 3
transported 1
twenty 1
two 1
was 4
when 1
which 1
with 1
years 1
young 1
