75702
/m/0k14s
/m/0k14s
Carl Hiaasen
2000
{"/m/05hgj": "Novel"}
20 1
a 10
about 1
advises 1
after 2
ago 1
agree 1
along 1
always 1
an 2
and 12
another 1
are 1
artemus 4
as 1
at 2
avoid 1
back 1
backers 1
backing 1
be 3
been 1
being 1
blackmail 1
bottles 1
bridge 1
brother 2
bulldoze 1
but 2
butts 1
by 1
car 1
cigarette 1
clapley 2
clinton 3
condominiums 1
corrupt 1
course 1
death 2
desirata 1
dick 1
disturbed 1
doesnt 1
doomed 1
doyle 1
driving 1
drug 1
ecoterrorist 1
effort 1
empty 1
entrepreneur 1
environment 1
except 1
exgovernor 1
expedite 1
expense 1
few 1
financial 1
florida 2
for 2
former 1
fort 1
foundered 1
funeral 1
golf 1
governor 2
group 1
happenstance 1
has 2
have 2
he 4
hiding 1
high 2
highway 1
him 1
hires 1
his 7
honest 1
hopes 1
if 1
immediately 1
in 4
incurs 1
innumerable 1
into 1
involving 1
is 2
island 3
it 1
keeper 1
knows 1
lauderdale 1
leaves 1
lesson 1
lighted 1
lighthouse 1
line 1
litter 1
litterbugs 1
live 1
lobbyist 1
locate 1
locates 1
mainland 1
massive 1
meanwhile 1
new 1
not 1
obsessively 1
of 10
office 1
on 2
only 1
other 1
out 4
palmer 2
past 1
path 1
payroll 1
people 1
plan 1
plans 1
pockets 1
project 3
pursues 2
random 1
remaining 1
residence 1
resorts 1
retribution 1
rich 1
rise 1
robert 1
rubbish 1
said 1
schemes 2
see 1
seeing 1
seeks 1
shearwater 3
short 1
show 1
situation 1
smugglerturneddeveloper 1
somewhere 1
speeding 1
spree 4
still 1
stoat 4
street 1
tainted 1
teach 1
term 1
that 2
the 15
their 1
them 1
they 3
those 1
throwing 1
tiny 1
to 10
toad 1
toads 1
tossed 1
towards 1
tracks 1
turn 1
twilly 2
tyree 5
uninhabited 1
unsuccessful 1
unsympathetic 1
up 1
use 1
vanished 1
violent 1
virtually 1
when 1
where 1
who 1
wife 1
wilderness 2
will 2
with 2
without 1
wrath 1
years 2
