1550022
/m/059mjt
/m/059mjt
George Eliot
1859
167 1
17 1
a 13
abandons 1
able 1
about 1
according 1
account 1
adam 8
admired 1
after 1
agrees 2
alton 1
and 18
around 1
arthur 6
as 2
ashbourne 1
assistance 1
attracted 1
aunt 1
aware 1
baby 1
back 1
bear 1
beautiful 2
become 1
bede 3
before 1
being 1
between 2
border 1
brings 1
but 3
by 2
cannot 1
captain 1
carpenter 2
caught 1
characters 1
charming 1
child 3
childmurder 1
closeknit 1
come 1
community 2
commuted 1
companion 1
compassion 1
confession 2
contrite 1
cottage 1
court 1
cousin 1
cries 1
delivers 1
derbyshire 1
desperation 1
dies 1
dinah 4
discovers 1
donnithorne 2
eliot 2
elizabeth 1
ellastone 1
encounters 1
end 1
endure 1
english 1
enters 1
evans 1
execution 1
exposure 1
falls 1
family 1
father 1
fervent 1
few 1
fictional 1
field 1
fight 1
find 1
finds 1
follows 1
for 3
found 1
founded 1
four 1
friendly 1
from 2
funeral 1
george 1
girl 1
give 1
gradually 1
grandfather 1
grandson 1
guilty 1
hang 1
has 1
have 1
hayslope 1
hayslopemdasha 1
he 2
hears 1
heir 1
her 7
hetty 8
him 2
his 4
house 1
impending 1
in 9
integrity 1
intelligence 1
interrupts 1
is 9
it 2
killed 1
known 1
late 1
later 1
lay 1
leave 1
leaves 3
literature 1
live 1
lived 1
lives 1
local 2
love 4
made 1
marriage 1
marry 2
methodist 2
miles 1
militia 2
morris 2
much 1
murder 1
mutual 1
near 1
not 1
novel 2
now 1
of 11
on 4
original 1
ostracism 1
out 1
oxford 1
pastoral 1
peacefully 1
pledges 1
plot 2
preacher 2
pregnantin 1
prison 2
races 1
real 1
rectangle 1
return 2
revolves 1
rural 2
search 1
seduces 1
selfabsorbed 1
sentence 1
sentenced 1
set 1
shame 1
she 12
shortly 1
sorrel 2
squire 2
staffordshire 1
stay 1
story 2
substantial 1
suitor 1
that 1
the 22
their 2
them 1
to 19
told 1
too 1
towers 1
transportation 1
tried 1
tries 1
tryst 1
ultimately 1
unacknowledged 1
until 1
unwilling 1
up 1
uttoxeter 1
village 3
virtuous 1
was 1
when 4
where 1
who 2
with 5
woman 1
would 1
young 1
