10912276
/m/02qttr9
/m/02qttr9
Jane Smiley
1995-03-21
a 60
abandon 1
ability 1
able 1
about 7
abruptly 1
absence 1
accept 1
accepted 1
accusations 1
acquired 1
across 1
admits 1
adult 1
affair 1
after 4
again 1
against 1
agricultural 3
agriculture 1
all 3
also 3
although 1
ambulance 1
an 6
and 103
angeles 2
announcement 1
announces 1
announcing 1
another 4
appears 1
approval 1
are 2
arlen 3
around 2
arrives 2
arriving 1
art 1
article 1
artist 1
as 19
aspect 1
assemble 1
associate 1
at 16
athletic 1
atmosphere 1
attacked 1
attempts 3
attended 1
attracts 1
awaken 1
aware 2
back 2
barn 1
basis 1
be 7
because 2
become 1
becomes 2
bed 1
begin 1
beginning 1
being 2
believes 2
bell 1
best 2
between 5
big 1
biggest 1
bigotry 1
bill 1
blame 1
blames 1
bleak 1
blue 2
bo 3
boars 1
bob 7
bobs 1
book 9
both 1
boyfriend 1
breaks 1
briefly 1
brought 1
brown 1
budget 5
building 3
bulletproof 1
businessman 1
but 10
butz 4
buys 1
by 10
cafeteria 1
calffree 1
california 1
call 1
calls 1
campus 8
cancelled 1
cannot 1
cards 1
care 3
careers 1
cares 1
caring 1
carlos 1
carlson 2
carrying 1
catch 1
cates 3
causes 2
cecelia 3
cecilia 9
center 1
ceo 1
chagrin 1
chairman 14
change 1
changed 1
changes 1
chaos 1
chapter 4
characters 3
check 1
chicago 1
chicken 2
child 1
childhood 1
children 3
chooses 1
christmas 2
church 1
cia 1
cinderella 1
class 3
classes 1
clearly 1
close 2
closes 4
cloud 3
coincidentally 1
collapse 1
college 1
come 3
comes 2
committee 1
communism 1
companies 1
complete 1
concludes 1
conducted 1
conference 2
connection 1
connects 1
consider 1
considers 1
constant 1
constraints 1
contacts 1
contains 2
contemplate 2
contemplates 1
continue 2
continues 3
controversy 1
conversation 2
convince 1
convinces 1
copies 1
copy 1
corporation 1
costa 4
could 1
couples 1
curiosity 1
cutbacks 1
cuts 4
danger 1
date 1
day 4
daydream 1
dead 1
deal 1
dean 8
deans 1
death 2
debate 1
decide 2
decided 1
decides 8
deep 1
demolition 1
department 1
depression 1
destination 1
destruction 3
detailing 2
details 1
detrimental 1
developments 1
devote 1
diane 7
did 1
difficult 1
diminished 1
dine 1
dinner 1
dire 1
disagrees 1
disappointed 3
discard 1
discover 1
discovery 2
discuss 3
disputes 1
disregard 1
distributes 1
division 1
dobbsjellinek 1
does 1
donate 1
donation 1
doomed 1
dozen 1
dr 17
drama 1
drgift 1
drive 1
driver 1
dubuque 2
due 1
during 4
dynamic 1
each 3
earl 11
earls 1
earlys 1
eastern 1
eat 1
economic 1
economically 1
economics 2
effort 1
elaine 3
elderly 1
embrace 1
emphasis 1
end 6
ends 1
engagement 1
english 1
entitled 1
environment 1
european 1
event 1
eventually 1
every 1
everyone 2
everyones 1
everything 1
except 1
exhausting 1
exhaustion 1
existence 1
experience 2
experiences 1
experiment 1
extension 1
fabricates 1
facilities 1
fact 1
faculty 5
fail 1
failing 1
failure 1
fall 2
falls 2
family 8
familys 1
farm 4
farmer 1
father 4
fear 1
feast 1
feeling 2
feet 1
fight 1
finding 1
finds 1
first 1
five 1
fleet 1
floor 1
florida 1
flyer 1
follow 1
following 3
for 22
forces 1
forest 3
former 1
fortune 1
found 1
four 2
frantic 1
friend 1
friends 2
from 5
front 1
frozen 1
full 1
funds 1
future 7
gaining 1
gains 1
garcia 1
gary 4
getaway 1
gets 1
gift 7
gifts 6
girlfriend 1
girls 1
give 1
given 2
giving 1
go 2
goals 1
gods 1
goes 2
gold 1
governor 2
grades 1
graduate 1
grant 2
grow 1
had 1
hall 2
hands 1
harstad 2
harstead 1
has 6
hassan 1
have 9
having 1
he 19
heading 1
hear 1
heavy 1
helen 4
hellmich 1
help 1
helping 1
her 30
high 2
him 4
himself 1
his 24
hog 1
holiday 2
holidays 1
home 6
hope 1
hopes 2
horses 1
horticulture 1
hospital 1
hosts 1
house 2
household 1
how 3
however 2
huge 1
if 1
immerses 1
impact 1
importance 1
important 1
in 37
include 1
includes 1
including 2
indulges 1
information 1
inside 1
instinct 1
intimate 1
into 2
introduced 1
introduces 2
introduction 1
invention 2
is 47
issue 1
it 5
its 1
ivar 4
jellinek 3
job 3
joe 1
jones 4
joy 8
just 1
keeps 1
kept 1
keri 10
kick 1
kind 1
kirghizia 1
kiss 1
la 1
lactation 1
lady 5
lafayette 1
lake 1
large 4
later 2
layoffs 1
lays 1
leaking 1
learning 1
leave 2
lecture 4
legendary 1
library 4
life 5
lighten 1
like 1
likely 1
line 1
lines 2
literally 1
live 1
lives 1
local 1
locked 1
longer 3
look 1
loren 4
los 2
lukewarm 1
lydia 2
lyle 1
machine 7
main 1
major 1
make 2
makes 2
making 1
man 2
manages 1
maneuvers 1
margaret 3
marly 11
marlys 4
marriage 4
martin 2
mary 10
mate 1
mcdonald 1
meanwhile 1
meats 4
media 1
meet 1
meeting 3
meets 5
members 1
memo 3
memorandums 1
men 1
midwest 1
might 1
miller 1
millers 1
mind 1
mine 1
mini 1
mining 3
missing 1
monahan 2
monahans 3
money 1
moo 7
more 4
most 1
moved 1
movein 1
movie 1
mrs 7
much 2
multiple 2
museum 2
mystery 1
named 1
national 1
nearly 1
need 2
needs 1
neighboring 1
neighbors 2
never 1
new 2
newest 1
news 3
night 1
nils 16
no 2
nods 1
not 8
notices 1
novel 3
obsession 1
occurring 1
occurs 4
of 62
off 2
offer 1
offers 1
often 1
old 5
older 1
olsen 1
olson 1
on 21
one 12
only 3
opens 3
opposing 1
order 1
originally 1
other 3
out 10
outraged 1
outside 2
over 4
overlapping 1
oversees 1
own 3
page 1
paper 2
paranoid 1
part 3
perfect 1
perishes 1
personality 1
pfistener 1
physical 1
pivotal 1
place 1
plan 2
plans 3
play 1
plot 2
point 1
poland 1
position 1
possibility 1
possible 1
power 1
present 1
president 1
prints 3
process 1
professor 4
project 3
projects 1
promoted 1
promotion 2
proposed 2
proposes 1
prosperity 1
protagonists 1
provost 1
publication 1
purpose 1
pursuits 1
quirky 1
rain 1
rampage 1
rather 1
reach 1
reaching 1
realizes 2
reassure 1
receives 1
recognizes 1
reductions 1
reflecting 1
reflects 5
relationship 5
relationships 2
remains 2
reminiscing 1
report 1
reports 1
requested 1
research 2
reside 2
residence 1
residents 1
resolve 1
resolved 1
result 2
resulting 1
return 2
returning 3
returns 1
reunite 1
revealing 2
reverse 1
revises 1
revolutionize 1
rica 3
ricas 1
ring 1
riot 1
role 1
room 1
roommate 1
rooms 1
ruins 1
run 2
running 1
runs 1
salacious 1
same 1
sanchez 1
saves 2
says 1
scene 1
scheme 1
school 4
search 1
secretly 1
section 3
see 1
seem 3
seems 1
selfish 1
sense 1
senses 1
sent 1
separate 1
series 1
set 1
setback 1
sets 1
seven 1
several 1
severe 1
sex 1
shaken 1
she 23
shed 2
sherri 6
short 1
shortest 1
should 2
showcases 1
sick 1
significant 1
since 2
situation 1
six 1
small 2
smiley 1
snow 1
snowstorm 1
so 3
some 3
someone 1
somewhat 1
sophomore 1
spanish 1
speak 1
spend 1
spending 1
spends 2
spent 1
spirits 1
spreads 1
stable 1
stamina 1
starts 1
stay 3
still 1
stones 1
stop 1
stops 1
storm 1
story 3
strained 1
stress 1
strike 1
stroke 2
stroop 6
stroops 3
struggle 2
struggles 1
student 3
students 3
successful 1
suffers 1
suggests 1
summarize 1
summary 1
supporting 1
surprise 1
surprisingly 1
suspicious 1
take 3
taken 1
takes 3
talk 1
talking 1
teaching 1
tell 2
telling 1
tend 1
tensions 1
than 1
thanksgiving 1
that 21
the 152
their 15
them 4
then 1
therapy 1
there 4
therefore 1
these 1
they 11
things 2
thinking 1
third 1
this 7
though 1
thought 1
threats 1
through 3
tim 5
time 5
timothy 1
to 85
together 3
towards 1
traditionally 1
trans 1
transferred 1
trapped 1
travel 1
tries 2
trip 1
truck 1
try 1
turnaround 1
two 5
u 1
unable 2
uncle 1
uncles 2
under 1
understand 1
understanding 1
unfolds 1
unhappiness 1
unhappy 1
university 13
universitys 3
unravel 1
until 3
up 6
uplifts 1
upset 1
upsets 1
use 1
vacation 1
various 1
very 2
vest 1
vicepresident 1
victim 1
viewed 1
virgin 3
virtuous 1
virus 1
visit 2
visiting 1
volunteers 1
walker 6
was 1
way 1
ways 1
wealthy 1
wears 1
wedding 1
well 3
were 2
what 3
when 8
where 4
which 7
while 1
who 4
whom 1
whos 1
whose 2
wife 1
wild 1
will 3
wind 1
winter 1
wishes 1
with 32
within 1
witness 1
woman 1
word 1
work 2
works 1
workstudy 1
worried 1
would 6
writes 1
writing 2
wrote 1
x 18
xs 1
year 4
