12392713
/m/02w2zg2
/m/02w2zg2
Paul Watkins
2000
117 1
13 1
a 25
abetz 3
about 1
acquired 1
acquiring 1
acrid 1
adapts 1
adolf 1
adopted 1
after 1
again 2
agree 1
agrees 1
alarmed 1
alexander 1
all 1
allied 1
allow 1
aloof 1
also 1
although 1
ambassador 1
an 7
and 34
appraiser 3
approaching 1
ardennes 1
are 8
army 1
around 2
arrested 2
arrive 1
arrives 2
art 5
artistic 1
artists 2
as 11
assistance 1
assumes 1
astronomer 2
at 6
atlier 1
auction 1
authority 1
balard 1
bay 1
be 2
because 3
becomes 1
been 1
before 1
begin 1
begins 1
begrudgingly 1
believing 1
besides 1
best 1
bidding 1
bitter 1
both 1
broken 1
brought 1
burned 1
but 8
buyers 1
by 4
bypassing 1
cafe 2
can 2
carries 1
chamber 1
chaos 1
charges 1
choice 1
city 1
classes 1
clutches 1
collector 1
comes 1
commended 1
comments 1
committee 1
competitor 1
complete 1
completely 1
comply 1
control 1
copy 1
created 1
critical 1
daughter 1
david 1
day 2
deal 1
deeprooted 1
defeat 1
defense 1
deliver 1
deranged 1
destroyed 1
detest 1
did 1
dies 1
dietrich 12
dining 1
dislike 1
displays 1
do 1
during 2
each 1
eccentricities 1
emerged 1
emerges 1
end 1
ends 1
enemy 1
entrusted 1
every 1
fake 1
falls 1
family 1
far 1
feels 1
few 1
find 1
finds 3
fleury 7
fluery 1
for 11
forces 1
forest 1
forge 3
forgeries 2
forgotten 1
fraud 4
french 3
frequent 1
friend 1
from 1
frowned 1
gangster 1
gangsters 2
generally 1
genius 1
german 1
germans 5
girl 1
given 1
government 2
had 4
halifax 24
harbors 1
harshly 1
has 13
have 2
having 1
he 18
her 1
hidden 1
him 5
himself 3
his 10
hitler 1
however 2
hundreds 1
idlers 1
ii 1
immensely 1
impeccably 1
impossible 1
in 16
inside 1
insistence 1
instance 1
insults 1
into 3
introduce 1
invade 1
irony 1
is 13
it 4
johannes 1
keep 1
keys 1
killed 2
labeled 1
later 3
learn 1
learns 2
leave 3
left 1
levasseur 1
lied 2
life 1
liking 1
line 2
little 2
local 2
look 1
loose 1
maginot 1
maneuvered 1
manner 1
many 1
marieclaire 1
masquerading 1
masterpiece 1
may 1
meet 2
meets 1
men 1
months 1
most 1
much 1
mysterious 1
named 5
nazi 1
never 4
next 1
nicholas 1
night 1
no 1
normandy 1
not 2
nude 1
obedience 1
of 19
off 1
officer 1
officers 1
on 7
one 2
only 4
original 5
originals 5
other 3
otherwise 1
over 1
own 1
owner 1
painting 8
paintings 4
pankratov 18
paris 6
parisian 1
part 1
party 1
pass 1
person 1
personal 1
picasso 1
picture 1
pierces 1
place 1
plan 1
please 1
police 1
policeman 1
portrait 1
posed 1
possesses 1
praises 1
presents 1
prevalent 1
priceless 1
process 1
quickly 2
real 1
refuses 2
remaining 1
remains 1
remarkable 1
repeated 1
reproductions 1
requested 1
responsible 1
return 2
returning 1
reveal 1
reveals 2
revolution 1
routine 1
run 1
runs 1
russian 2
ruthless 1
see 1
seeing 1
seeks 1
seems 1
seen 3
seized 1
sell 1
selling 1
several 1
she 1
shocked 1
silent 1
sixty 2
sketches 2
sketching 4
so 1
sole 1
solely 1
some 2
somehow 1
spares 1
specific 1
start 1
starting 1
states 1
station 1
stays 1
still 1
stockpiling 1
stolen 1
stool 2
story 1
strangely 1
students 2
successful 1
such 1
surprised 1
survived 1
surviving 1
suspicion 1
tables 1
taken 2
takes 1
talk 1
teach 1
teacher 2
tells 2
that 18
the 63
their 2
them 4
themselves 1
there 1
these 1
they 3
thought 1
through 1
throws 1
time 1
tires 1
to 29
tombeau 4
torture 1
touch 1
trade 3
traded 1
tsar 1
turn 1
two 1
united 1
unknown 2
unquestioned 1
until 2
upon 1
urges 1
use 1
valuable 1
valya 4
vault 1
vermeer 1
very 1
war 7
warn 1
was 5
well 2
were 1
what 1
when 8
where 2
which 4
while 1
white 1
who 6
whomever 1
will 1
wins 1
with 15
woman 2
work 2
working 2
works 3
worry 1
would 1
years 3
yet 2
