4817790
/m/0cphx_
/m/0cphx_
Joe Dever
1984
{"/m/03ff00": "Gamebook", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 3
about 1
ally 1
and 1
around 1
at 1
await 1
board 1
bound 1
but 1
corner 1
country 1
darklord 1
despite 1
durenor 3
enemies 1
every 1
fate 1
foot 1
for 1
forced 1
given 1
hammerdal 1
having 1
he 1
him 1
his 1
hope 1
informed 1
instructed 1
invasion 1
is 4
journey 1
kai 1
king 1
legendary 1
lone 2
make 2
massive 1
neighbouring 1
of 4
off 1
on 3
only 1
order 1
repelling 1
retrieve 1
sabotages 1
seal 1
sets 1
ship 2
sommerlund 1
sommerlunds 1
sommerswerd 1
that 1
the 8
their 1
to 5
traitor 1
way 1
when 1
which 1
wolf 2
zagarnas 1
