32111076
/m/0gx1q5f
/m/0gx1q5f
Sophia Romero
1998
a 5
after 1
agenda 1
already 1
america 1
an 1
and 2
arrival 1
as 2
became 1
before 1
behind 1
belong 1
between 1
but 1
by 2
charges 1
city 1
class 1
committed 1
complicated 1
conceived 1
corruption 1
dananay 1
decided 1
disagreements 1
during 1
escape 1
eventual 1
fall 1
family 1
father 5
ferdinand 1
for 2
former 1
government 1
grew 1
her 10
husband 1
immigrant 1
implicated 1
in 6
indiscretions 1
is 1
leaving 1
left 2
life 2
live 2
ludy 1
maid 1
main 2
manila 2
marcos 2
marcoses 1
marriage 1
mistress 1
mother 4
move 1
narrates 1
new 1
novel 1
obeyed 1
of 6
one 1
parents 3
philanderer 1
philippine 1
philippines 2
pregnant 1
president 1
protagonist 1
quarrelsome 1
reasons 1
regime 1
reputation 1
return 1
romero 1
rosario 1
secret 1
send 1
socialite 1
states 3
teenager 1
the 15
to 9
together 1
undocumented 1
united 3
up 1
upon 1
viola 13
violetta 1
was 4
who 1
with 4
womanizer 1
working 1
york 1
