24071931
/m/07k7vgr
/m/07k7vgr
Garret Weyr
2002
a 3
agree 1
along 1
also 1
and 8
are 2
as 2
be 1
because 1
been 1
before 1
begin 1
being 2
best 1
both 1
break 2
brother 1
but 3
can 1
city 1
college 1
come 1
confronted 1
couple 1
crush 1
dating 1
denial 1
denies 1
does 1
ellen 6
embarrassed 1
father 1
finds 1
for 2
fourteenyearold 1
freshman 1
friend 1
gay 2
girl 1
goes 1
going 1
grows 1
hang 1
has 2
he 3
heart 1
her 6
high 1
him 1
his 2
ignores 1
in 4
into 1
invited 1
is 6
it 1
james 9
jealous 1
link 6
long 1
love 1
make 1
meantime 1
men 1
mother 1
new 1
not 2
of 4
off 1
often 1
okay 1
on 1
orientation 1
other 1
out 3
remember 1
reveals 1
says 1
school 1
she 2
slept 1
son 1
soon 1
surprised 1
tells 1
that 4
the 1
them 1
then 1
to 6
up 1
very 1
want 1
when 1
while 1
will 1
with 4
year 1
york 1
