5656005
/m/0dykhc
/m/0dykhc
Philip Caputo

16 1
165 1
175 1
2 1
8 1
a 17
about 3
accusation 1
after 2
against 1
airstrip 1
all 1
almost 1
also 2
american 3
an 2
and 21
anxieties 1
april 1
are 1
army 2
around 1
arrival 2
arrived 1
as 9
assumed 1
at 1
attacks 1
author 2
based 1
basic 1
battles 1
because 1
being 3
boobytraps 1
book 5
brigade 3
bunkers 1
by 1
camp 1
caputo 15
carolina 1
carrying 1
casualties 1
certain 1
change 1
charge 1
charges 1
clear 1
clearly 1
colonial 1
comb 1
command 3
company 3
comrades 2
condition 1
conflict 1
cong 3
corpses 2
countersnipe 1
courtmartial 1
da 1
dead 1
death 1
defensive 1
deliberately 1
departure 1
deployed 1
described 1
describes 4
desire 1
desk 1
details 1
detect 1
devastating 1
did 1
different 1
difficulties 1
discharge 1
distance 1
divided 1
documenting 1
dropped 1
duties 1
duty 1
earlier 1
early 1
earned 1
end 1
enemy 2
ensured 1
epic 1
epilogue 1
eventual 1
eventually 2
evidence 1
example 1
expeditionary 2
experience 1
experienced 1
experiences 2
faced 1
fall 1
fame 1
fellow 1
fierce 1
fighters 1
first 3
flood 1
followed 1
for 6
foreword 1
formerly 1
from 3
full 1
gave 1
generals 1
goods 1
grey 1
grudging 1
had 3
handling 1
having 2
he 8
him 2
his 16
historical 1
history 1
honorable 1
hunting 1
iistyle 1
impression 1
in 13
incident 1
infantry 1
into 1
is 6
it 2
its 1
job 1
joining 1
joint 1
journalist 1
jungle 1
kipling 1
land 1
learned 1
left 1
lieutenant 1
line 1
little 1
lt 11
made 1
main 1
march 1
marines 1
matters 1
member 1
memoir 1
memories 1
merely 1
military 1
mind 1
miscarried 1
more 1
mortar 1
movies 1
nang 1
new 1
newspaper 1
night 1
nor 1
north 4
not 2
notoriety 1
of 20
off 1
officers 2
old 1
on 4
open 1
operations 1
orders 1
part 4
parts 1
perimeter 1
personal 2
personnel 1
perspective 1
philip 2
played 1
portrayed 1
position 1
postscript 1
potentially 1
primarily 1
proud 1
publication 1
published 1
purpose 1
rations 1
reasons 1
reassigned 3
received 1
regular 1
relieved 1
reminded 1
resistance 1
respect 1
responsibility 1
return 1
returned 1
rifle 3
risking 1
rudyard 1
saigon 1
search 1
second 1
section 1
senior 1
sent 1
service 1
set 1
shot 1
shown 1
skilled 1
skirmishes 1
small 1
soldiers 1
some 1
splendid 1
staff 1
states 3
stopped 1
story 1
strategy 1
suit 1
suspects 1
take 1
ten 1
th 2
than 1
that 5
the 41
their 2
then 1
these 1
they 1
third 1
this 3
three 1
to 16
took 1
torture 1
tour 1
tourane 1
training 2
treasured 1
trivial 1
troops 3
trophies 1
two 1
under 1
unimportant 1
unit 1
until 1
usmc 2
viet 3
vietnam 6
vietnamese 2
war 7
wars 1
was 6
were 1
while 1
wishing 1
witnessed 1
witnesses 1
world 1
worried 1
writing 2
wrong 1
years 1
