1124243
/m/048b9f
/m/048b9f
Eric Hoffer
1951
{"/m/05h83": "Non-fiction"}
20th 1
a 9
absolute 1
action 1
active 1
adherents 2
advancement 1
affiliation 1
all 1
also 1
among 1
an 2
and 9
antagonism 1
appeal 2
are 2
argues 1
as 3
attracted 1
be 5
become 1
begin 1
behavior 1
belief 1
believer 1
believers 1
belonging 1
book 1
but 1
by 3
can 2
capable 1
categories 1
century 1
certainty 1
channeled 1
collapse 1
collective 2
communal 1
communism 1
communist 1
compact 1
competing 1
creating 1
current 1
defeat 1
demonstrate 1
despite 1
devalue 1
development 1
dissatisfied 1
do 1
does 1
early 1
either 1
endeavors 1
escape 1
established 1
examples 1
exclusively 1
explores 1
extensively 1
fascism 1
feel 1
feelings 1
fierce 1
flawed 1
for 3
forces 1
former 1
found 1
framework 1
from 4
frontier 1
frustrated 1
future 3
gain 1
give 1
gives 1
glorify 1
glorious 1
goals 1
he 2
hoffer 3
how 1
if 1
imaginary 1
in 5
include 1
individual 1
insecurity 1
instead 2
isolated 1
joining 1
lacks 1
leaders 1
leave 1
like 1
likely 1
longer 1
mass 11
may 1
memberships 1
misfits 1
moderates 1
more 2
movement 1
movements 10
nazi 1
need 1
negative 1
no 2
not 1
of 13
often 1
on 1
once 1
opportunities 1
opposing 1
or 1
other 1
others 1
part 1
parties 2
party 1
past 1
people 7
personal 1
phase 1
pool 1
poor 1
positive 1
predisposed 1
present 1
pride 1
promising 1
quotes 1
recruits 1
religion 1
rise 1
sacrifice 1
same 2
seek 1
self 2
selfconfidence 1
so 1
soldiers 1
some 1
spread 1
state 1
strong 1
substitutes 2
successful 1
such 2
support 1
take 1
talents 1
than 1
that 3
the 17
their 4
themselves 1
these 2
they 4
things 1
those 1
thwarted 1
to 14
true 2
two 1
uncertainty 1
understanding 1
vast 1
view 1
want 1
ways 1
well 1
were 2
who 4
whole 3
will 1
willing 1
with 3
would 1
