14645143
/m/03grp_r
/m/03grp_r
Alistair MacLean
1978
{"/m/01jfsb": "Thriller"}
172 1
177 1
a 1
acknowledged 1
along 1
an 2
and 2
appears 1
atomic 1
be 1
bombs 1
book 1
build 1
by 1
california 4
cities 1
could 1
describes 1
destroy 1
earthquake 2
edition 1
experience 1
exploded 1
fault 1
february 1
first 1
focuses 1
for 1
from 1
he 1
himself 1
his 2
if 1
in 3
inspiration 1
islamic 1
kidnappers 1
kidnaps 1
kill 1
lines 1
maclean 1
major 1
material 1
millions 1
nuclear 2
of 4
on 2
own 1
people 1
plan 1
plant 1
plot 2
power 1
preface 1
radioactive 1
scientists 1
set 1
states 1
steals 1
terrorist 1
the 8
their 1
to 3
united 1
where 1
which 1
while 1
