3785248
/m/09_xfk
/m/09_xfk
Ben Elton
1993
a 11
abrogation 1
accepts 1
actor 1
actually 1
advertising 3
after 2
all 1
an 3
and 11
are 4
as 3
assigns 1
at 1
attack 1
attempting 1
attempts 1
awareness 1
back 1
basic 1
be 1
been 1
begins 1
between 1
book 1
bring 1
british 1
builds 1
bulk 2
burden 1
but 1
buy 1
by 2
byproducts 1
campaign 2
care 1
case 1
catastrophe 1
ceases 1
change 1
chief 1
civilization 1
claustropheres 1
claustrosphere 3
claustrospheres 3
collapses 1
collapsing 1
commercial 2
commercials 1
company 5
confesses 1
confrontation 1
connolly 1
convince 1
covertly 1
current 1
damage 1
decades 1
decides 1
despises 1
disaster 1
discovers 1
do 1
doomed 1
during 1
each 1
earth 1
eco 2
ecology 1
ecoterrorism 1
ecoterrorists 1
effectively 1
emphasis 1
ending 2
environment 4
environmental 1
evade 1
even 1
everybody 1
eyes 1
fact 1
fall 1
falling 2
far 1
finally 1
first 1
focuses 1
for 6
freed 1
from 2
full 1
further 1
game 1
geared 1
global 1
going 1
grab 1
gradually 1
great 1
has 1
have 2
having 1
he 2
headlines 1
highly 1
him 1
his 2
however 1
humanity 1
idea 2
if 1
improvement 1
in 10
indicating 1
industry 1
inevitably 1
inflicted 1
instantly 1
instead 1
insurance 1
into 1
investigate 1
ironic 1
ironies 1
is 9
it 3
joking 1
jurgen 3
just 1
justice 1
killed 1
kind 1
large 1
leaking 1
least 1
led 1
live 1
lock 1
looming 1
makes 1
mankind 1
marketer 1
max 5
meeting 1
mind 1
minor 1
model 1
more 2
movement 1
murder 1
murdered 1
nathan 4
need 1
never 1
new 2
news 2
novel 1
now 2
of 14
on 1
one 2
organization 1
out 2
owner 1
owns 1
packages 1
partners 1
people 2
perfect 1
plastic 1
plays 1
pollution 1
present 1
pretentious 1
problem 1
prompting 1
public 1
raids 1
rat 1
ready 1
reality 1
recover 1
removes 1
represents 2
responsibility 1
roll 1
rosalie 2
run 1
sales 1
sell 2
sets 1
several 1
shallow 1
since 1
so 1
society 1
sold 1
sponsored 1
stories 1
subsequent 1
subsequently 1
successful 1
suddenly 1
suggestion 1
sync 1
termed 1
terrorist 1
terrorists 1
than 1
that 8
the 30
their 3
them 2
themselves 1
therefore 1
they 2
this 1
thor 3
time 1
to 17
told 1
tolstoy 6
truly 1
try 1
ultimately 1
up 1
upgrade 1
vanishing 1
vast 1
virtual 1
virtually 1
which 3
whilst 1
who 1
with 6
work 2
working 1
world 1
would 1
writer 1
young 1
