9057513
/m/027w39f
/m/027w39f
David Wiesner

a 11
across 1
again 1
an 1
and 7
another 1
ashore 1
at 1
back 1
beach 1
book 1
boy 2
but 1
by 1
camera 3
carried 1
child 4
cities 1
developed 1
fantastical 1
figures 1
film 1
finds 2
fish 1
found 1
get 1
girl 1
has 1
have 1
he 3
himself 1
holding 4
in 2
interesting 1
into 1
inventions 1
is 8
it 5
last 1
life 1
line 1
long 1
most 1
no 1
ocean 2
of 8
old 1
on 1
one 1
out 1
photo 4
photographers 1
photos 1
picture 2
pictures 1
sea 1
sees 1
so 1
takes 2
that 1
the 8
this 3
though 1
to 1
told 1
tosses 1
undersea 1
until 1
variety 1
washes 1
who 4
words 1
